Date,5-Nov,,Dec-15,,16-19,,20-29,,30-39,,40-49,,50-59,,60-69,,70-79,,80-89,,90+
29-Jul-22,,,84.04%,,93.47%,,90.49%,,96.32%,,96.49%,,98.26%,,100.90%,,106.19%,,110.29%,,119.42%
30-Jul-22,,,84.05%,,93.45%,,90.49%,,96.32%,,96.50%,,98.26%,,100.92%,,106.21%,,110.32%,,119.50%
31-Jul-22,,,84.03%,,93.45%,,90.48%,,96.33%,,96.50%,,98.27%,,100.93%,,106.23%,,110.34%,,119.57%
1-Aug-22,,,83.99%,,93.45%,,90.48%,,96.34%,,96.50%,,98.27%,,100.94%,,106.25%,,110.37%,,119.64%
2-Aug-22,,,83.98%,,93.45%,,90.49%,,96.34%,,96.50%,,98.28%,,100.95%,,106.27%,,110.40%,,119.70%
3-Aug-22,,,83.97%,,93.48%,,90.49%,,96.34%,,96.51%,,98.28%,,100.96%,,106.29%,,110.43%,,119.77%
4-Aug-22,,,83.95%,,93.51%,,90.48%,,96.35%,,96.52%,,98.29%,,100.97%,,106.30%,,110.45%,,119.84%
5-Aug-22,,,83.97%,,93.49%,,90.48%,,96.36%,,96.53%,,98.30%,,100.98%,,106.32%,,110.49%,,119.91%
6-Aug-22,,,83.97%,,93.49%,,90.48%,,96.36%,,96.53%,,98.30%,,100.98%,,106.32%,,110.49%,,119.91%
7-Aug-22,,,83.97%,,93.49%,,90.48%,,96.36%,,96.53%,,98.30%,,100.98%,,106.32%,,110.49%,,119.91%
8-Aug-22,,,83.97%,,93.49%,,90.48%,,96.36%,,96.53%,,98.30%,,100.98%,,106.32%,,110.49%,,119.91%
9-Aug-22,,,83.91%,,93.47%,,90.48%,,96.38%,,96.54%,,98.31%,,101.02%,,106.39%,,110.60%,,120.20%
10-Aug-22,,,83.89%,,93.50%,,90.48%,,96.38%,,96.54%,,98.32%,,101.03%,,106.41%,,110.63%,,120.27%
11-Aug-22,,,83.88%,,93.53%,,90.47%,,96.39%,,96.55%,,98.33%,,101.04%,,106.43%,,110.66%,,120.35%
12-Aug-22,,,83.89%,,93.52%,,90.47%,,96.39%,,96.56%,,98.33%,,101.05%,,106.45%,,110.69%,,120.41%
13-Aug-22,,,83.89%,,93.52%,,90.47%,,96.39%,,96.56%,,98.33%,,101.05%,,106.45%,,110.69%,,120.41%
14-Aug-22,,,83.89%,,93.52%,,90.47%,,96.39%,,96.56%,,98.33%,,101.05%,,106.45%,,110.69%,,120.41%
15-Aug-22,,,83.82%,,93.50%,,90.46%,,96.41%,,96.57%,,98.33%,,101.07%,,106.50%,,110.78%,,120.64%
16-Aug-22,,,83.81%,,93.50%,,90.47%,,96.41%,,96.57%,,98.34%,,101.08%,,106.52%,,110.80%,,120.72%
17-Aug-22,,,83.80%,,93.53%,,90.47%,,96.41%,,96.58%,,98.34%,,101.09%,,106.53%,,110.83%,,120.78%
18-Aug-22,,,83.78%,,93.56%,,90.46%,,96.42%,,96.58%,,98.35%,,101.10%,,106.56%,,110.86%,,120.85%
19-Aug-22,,,83.80%,,93.54%,,90.46%,,96.42%,,96.59%,,98.35%,,101.11%,,106.58%,,110.89%,,120.92%
20-Aug-22,,,83.80%,,93.54%,,90.46%,,96.42%,,96.59%,,98.35%,,101.11%,,106.58%,,110.89%,,120.92%
21-Aug-22,,,83.80%,,93.54%,,90.46%,,96.42%,,96.59%,,98.35%,,101.11%,,106.58%,,110.89%,,120.92%
22-Aug-22,,,83.74%,,93.52%,,90.45%,,96.44%,,96.61%,,98.36%,,101.13%,,106.63%,,110.97%,,121.14%
23-Aug-22,,,83.74%,,93.52%,,90.46%,,96.44%,,96.61%,,98.36%,,101.14%,,106.65%,,111.00%,,121.20%
24-Aug-22,,,83.72%,,93.55%,,90.45%,,96.44%,,96.61%,,98.37%,,101.15%,,106.66%,,111.03%,,121.26%
25-Aug-22,,,83.71%,,93.58%,,90.45%,,96.44%,,96.62%,,98.38%,,101.16%,,106.68%,,111.06%,,121.32%
26-Aug-22,,,83.71%,,93.56%,,90.44%,,96.45%,,96.63%,,98.38%,,101.16%,,106.69%,,111.09%,,121.38%
27-Aug-22,,,83.71%,,93.56%,,90.44%,,96.45%,,96.63%,,98.38%,,101.16%,,106.69%,,111.09%,,121.38%
28-Aug-22,,,83.71%,,93.56%,,90.44%,,96.45%,,96.63%,,98.38%,,101.16%,,106.69%,,111.09%,,121.38%
29-Aug-22,,,83.66%,,93.53%,,90.44%,,96.46%,,96.64%,,98.39%,,101.18%,,106.75%,,111.16%,,121.59%
30-Aug-22,,,83.65%,,93.53%,,90.44%,,96.46%,,96.64%,,98.39%,,101.19%,,106.76%,,111.19%,,121.66%
31-Aug-22,,,83.63%,,93.56%,,90.44%,,96.46%,,96.65%,,98.39%,,101.20%,,106.78%,,111.21%,,121.72%
1-Sep-22,,,83.62%,,93.58%,,90.43%,,96.47%,,96.65%,,98.40%,,101.21%,,106.80%,,111.25%,,121.79%
2-Sep-22,,,83.63%,,93.56%,,90.43%,,96.47%,,96.66%,,98.40%,,101.22%,,106.82%,,111.27%,,121.86%
3-Sep-22,,,83.63%,,93.56%,,90.43%,,96.47%,,96.66%,,98.40%,,101.22%,,106.82%,,111.27%,,121.86%
4-Sep-22,,,83.63%,,93.56%,,90.43%,,96.47%,,96.66%,,98.40%,,101.22%,,106.82%,,111.27%,,121.86%
5-Sep-22,,,83.57%,,93.53%,,90.43%,,96.49%,,96.67%,,98.41%,,101.24%,,106.87%,,111.34%,,122.05%
6-Sep-22,,,83.55%,,93.54%,,90.43%,,96.48%,,96.67%,,98.41%,,101.24%,,106.89%,,111.37%,,122.11%
7-Sep-22,,,83.54%,,93.56%,,90.42%,,96.49%,,96.67%,,98.42%,,101.25%,,106.91%,,111.40%,,122.18%
8-Sep-22,,,83.52%,,93.59%,,90.42%,,96.49%,,96.68%,,98.42%,,101.26%,,106.93%,,111.43%,,122.25%
9-Sep-22,,,83.53%,,93.58%,,90.42%,,96.50%,,96.69%,,98.43%,,101.27%,,106.95%,,111.45%,,122.32%
16-Sep-22,,,83.41%,,93.62%,,90.41%,,96.52%,,96.71%,,98.45%,,101.32%,,107.05%,,111.63%,,122.75%
23-Sep-22,,,83.34%,,93.60%,,90.41%,,96.53%,,96.74%,,98.47%,,101.37%,,107.16%,,111.79%,,123.18%
30-Sep-22,,,83.20%,,93.64%,,90.37%,,96.56%,,96.77%,,98.49%,,101.43%,,107.31%,,112.01%,,123.74%
7-Oct-22,,,83.09%,,93.69%,,90.33%,,96.16%,,96.53%,,98.18%,,100.81%,,105.34%,,104.72%,,97.51%
14-Oct-22,,,82.99%,,93.70%,,90.30%,,96.18%,,96.56%,,98.19%,,100.84%,,105.44%,,104.78%,,97.44%
21-Oct-22,,,82.90%,,93.69%,,90.29%,,96.19%,,96.59%,,98.20%,,100.88%,,105.52%,,104.85%,,97.51%
28-Oct-22,,,82.81%,,93.68%,,90.26%,,96.21%,,96.62%,,98.21%,,100.92%,,105.61%,,104.90%,,97.56%
4-Nov-22,,,82.70%,,93.69%,,90.24%,,96.22%,,96.64%,,98.23%,,100.95%,,105.70%,,104.96%,,97.58%
11-Nov-22,,,82.61%,,93.70%,,90.22%,,96.24%,,96.67%,,98.24%,,100.99%,,105.79%,,105.01%,,97.59%
18-Nov-22,,,82.52%,,93.70%,,90.20%,,96.26%,,96.69%,,98.25%,,101.04%,,105.87%,,105.08%,,97.63%
25-Nov-22,,,82.40%,,93.71%,,90.19%,,96.27%,,96.71%,,98.27%,,101.08%,,105.96%,,105.15%,,97.65%
2-Dec-22,,,82.29%,,93.73%,,90.17%,,96.29%,,96.73%,,98.28%,,101.11%,,106.05%,,105.22%,,97.71%
9-Dec-22,,,82.20%,,93.72%,,90.14%,,96.29%,,96.74%,,98.29%,,101.15%,,106.14%,,105.28%,,97.77%
16-Dec-22,,,82.08%,,93.72%,,90.12%,,96.30%,,96.76%,,98.31%,,101.19%,,106.23%,,105.33%,,97.80%
23-Dec-22,,,81.99%,,93.70%,,90.11%,,96.31%,,96.78%,,98.32%,,101.23%,,106.31%,,105.40%,,97.79%
30-Dec-22,,,81.99%,,93.70%,,90.11%,,96.31%,,96.78%,,98.32%,,101.23%,,106.31%,,105.40%,,97.79%
6-Jan-23,,,81.76%,,93.67%,,90.02%,,96.31%,,96.82%,,98.37%,,101.34%,,106.51%,,105.61%,,98.19%
13-Jan-23,,,81.66%,,93.70%,,90.01%,,96.32%,,96.86%,,98.39%,,101.39%,,106.59%,,105.67%,,98.14%
20-Jan-23,,,81.54%,,93.73%,,89.98%,,96.34%,,96.89%,,98.40%,,101.44%,,106.67%,,105.74%,,98.17%
27-Jan-23,,,81.44%,,93.73%,,89.98%,,96.35%,,96.91%,,98.40%,,101.49%,,106.73%,,105.81%,,98.21%
