Country,date,type,value
Australia,14/11/2020,Daily hospital occupancy,22
Australia,14/11/2020,Daily hospital occupancy per million,0.84
Australia,15/11/2020,Daily ICU occupancy,0
Australia,15/11/2020,Daily ICU occupancy per million,0
Australia,15/11/2020,Daily hospital occupancy,24
Australia,15/11/2020,Daily hospital occupancy per million,0.917
Australia,16/11/2020,Daily ICU occupancy,0
Australia,16/11/2020,Daily ICU occupancy per million,0
Australia,16/11/2020,Daily hospital occupancy,23
Australia,16/11/2020,Daily hospital occupancy per million,0.879
Australia,17/11/2020,Daily ICU occupancy,0
Australia,17/11/2020,Daily ICU occupancy per million,0
Australia,17/11/2020,Daily hospital occupancy,22
Australia,17/11/2020,Daily hospital occupancy per million,0.84
Australia,18/11/2020,Daily ICU occupancy,0
Australia,18/11/2020,Daily ICU occupancy per million,0
Australia,18/11/2020,Daily hospital occupancy,26
Australia,18/11/2020,Daily hospital occupancy per million,0.993
Australia,19/11/2020,Daily ICU occupancy,0
Australia,19/11/2020,Daily ICU occupancy per million,0
Australia,19/11/2020,Daily hospital occupancy,23
Australia,19/11/2020,Daily hospital occupancy per million,0.879
Australia,20/11/2020,Daily ICU occupancy,0
Australia,20/11/2020,Daily ICU occupancy per million,0
Australia,20/11/2020,Daily hospital occupancy,25
Australia,20/11/2020,Daily hospital occupancy per million,0.955
Australia,21/11/2020,Daily ICU occupancy,0
Australia,21/11/2020,Daily ICU occupancy per million,0
Australia,21/11/2020,Daily hospital occupancy,22
Australia,21/11/2020,Daily hospital occupancy per million,0.84
Australia,22/11/2020,Daily ICU occupancy,0
Australia,22/11/2020,Daily ICU occupancy per million,0
Australia,22/11/2020,Daily hospital occupancy,21
Australia,22/11/2020,Daily hospital occupancy per million,0.802
Australia,23/11/2020,Daily ICU occupancy,0
Australia,23/11/2020,Daily ICU occupancy per million,0
Australia,23/11/2020,Daily hospital occupancy,25
Australia,23/11/2020,Daily hospital occupancy per million,0.955
Australia,24/11/2020,Daily ICU occupancy,0
Australia,24/11/2020,Daily ICU occupancy per million,0
Australia,24/11/2020,Daily hospital occupancy,24
Australia,24/11/2020,Daily hospital occupancy per million,0.917
Australia,25/11/2020,Daily ICU occupancy,0
Australia,25/11/2020,Daily ICU occupancy per million,0
Australia,25/11/2020,Daily hospital occupancy,24
Australia,25/11/2020,Daily hospital occupancy per million,0.917
Australia,26/11/2020,Daily ICU occupancy,0
Australia,26/11/2020,Daily ICU occupancy per million,0
Australia,26/11/2020,Daily hospital occupancy,22
Australia,26/11/2020,Daily hospital occupancy per million,0.84
Australia,27/11/2020,Daily ICU occupancy,0
Australia,27/11/2020,Daily ICU occupancy per million,0
Australia,27/11/2020,Daily hospital occupancy,21
Australia,27/11/2020,Daily hospital occupancy per million,0.802
Australia,28/11/2020,Daily ICU occupancy,0
Australia,28/11/2020,Daily ICU occupancy per million,0
Australia,28/11/2020,Daily hospital occupancy,21
Australia,28/11/2020,Daily hospital occupancy per million,0.802
Australia,29/11/2020,Daily ICU occupancy,0
Australia,29/11/2020,Daily ICU occupancy per million,0
Australia,29/11/2020,Daily hospital occupancy,22
Australia,29/11/2020,Daily hospital occupancy per million,0.84
Australia,30/11/2020,Daily ICU occupancy,0
Australia,30/11/2020,Daily ICU occupancy per million,0
Australia,30/11/2020,Daily hospital occupancy,21
Australia,30/11/2020,Daily hospital occupancy per million,0.802
Australia,1/12/2020,Daily ICU occupancy,0
Australia,1/12/2020,Daily ICU occupancy per million,0
Australia,1/12/2020,Daily hospital occupancy,21
Australia,1/12/2020,Daily hospital occupancy per million,0.802
Australia,2/12/2020,Daily ICU occupancy,0
Australia,2/12/2020,Daily ICU occupancy per million,0
Australia,2/12/2020,Daily hospital occupancy,26
Australia,2/12/2020,Daily hospital occupancy per million,0.993
Australia,3/12/2020,Daily ICU occupancy,0
Australia,3/12/2020,Daily ICU occupancy per million,0
Australia,3/12/2020,Daily hospital occupancy,27
Australia,3/12/2020,Daily hospital occupancy per million,1.031
Australia,4/12/2020,Daily ICU occupancy,0
Australia,4/12/2020,Daily ICU occupancy per million,0
Australia,4/12/2020,Daily hospital occupancy,28
Australia,4/12/2020,Daily hospital occupancy per million,1.07
Australia,5/12/2020,Daily ICU occupancy,0
Australia,5/12/2020,Daily ICU occupancy per million,0
Australia,5/12/2020,Daily hospital occupancy,29
Australia,5/12/2020,Daily hospital occupancy per million,1.108
Australia,6/12/2020,Daily ICU occupancy,0
Australia,6/12/2020,Daily ICU occupancy per million,0
Australia,6/12/2020,Daily hospital occupancy,33
Australia,6/12/2020,Daily hospital occupancy per million,1.261
Australia,7/12/2020,Daily ICU occupancy,0
Australia,7/12/2020,Daily ICU occupancy per million,0
Australia,7/12/2020,Daily hospital occupancy,37
Australia,7/12/2020,Daily hospital occupancy per million,1.413
Australia,8/12/2020,Daily ICU occupancy,0
Australia,8/12/2020,Daily ICU occupancy per million,0
Australia,8/12/2020,Daily hospital occupancy,32
Australia,8/12/2020,Daily hospital occupancy per million,1.222
Australia,9/12/2020,Daily ICU occupancy,0
Australia,9/12/2020,Daily ICU occupancy per million,0
Australia,9/12/2020,Daily hospital occupancy,38
Australia,9/12/2020,Daily hospital occupancy per million,1.452
Australia,10/12/2020,Daily ICU occupancy,0
Australia,10/12/2020,Daily ICU occupancy per million,0
Australia,10/12/2020,Daily hospital occupancy,38
Australia,10/12/2020,Daily hospital occupancy per million,1.452
Australia,11/12/2020,Daily ICU occupancy,0
Australia,11/12/2020,Daily ICU occupancy per million,0
Australia,11/12/2020,Daily hospital occupancy,37
Australia,11/12/2020,Daily hospital occupancy per million,1.413
Australia,12/12/2020,Daily ICU occupancy,0
Australia,12/12/2020,Daily ICU occupancy per million,0
Australia,12/12/2020,Daily hospital occupancy,34
Australia,12/12/2020,Daily hospital occupancy per million,1.299
Australia,13/12/2020,Daily ICU occupancy,1
Australia,13/12/2020,Daily ICU occupancy per million,0.038
Australia,13/12/2020,Daily hospital occupancy,28
Australia,13/12/2020,Daily hospital occupancy per million,1.07
Australia,14/12/2020,Daily ICU occupancy,1
Australia,14/12/2020,Daily ICU occupancy per million,0.038
Australia,14/12/2020,Daily hospital occupancy,31
Australia,14/12/2020,Daily hospital occupancy per million,1.184
Australia,15/12/2020,Daily ICU occupancy,1
Australia,15/12/2020,Daily ICU occupancy per million,0.038
Australia,15/12/2020,Daily hospital occupancy,28
Australia,15/12/2020,Daily hospital occupancy per million,1.07
Australia,16/12/2020,Daily ICU occupancy,0
Australia,16/12/2020,Daily ICU occupancy per million,0
Australia,16/12/2020,Daily hospital occupancy,29
Australia,16/12/2020,Daily hospital occupancy per million,1.108
Australia,17/12/2020,Daily ICU occupancy,0
Australia,17/12/2020,Daily ICU occupancy per million,0
Australia,17/12/2020,Daily hospital occupancy,24
Australia,17/12/2020,Daily hospital occupancy per million,0.917
Australia,18/12/2020,Daily ICU occupancy,0
Australia,18/12/2020,Daily ICU occupancy per million,0
Australia,18/12/2020,Daily hospital occupancy,25
Australia,18/12/2020,Daily hospital occupancy per million,0.955
Australia,19/12/2020,Daily ICU occupancy,0
Australia,19/12/2020,Daily ICU occupancy per million,0
Australia,19/12/2020,Daily hospital occupancy,26
Australia,19/12/2020,Daily hospital occupancy per million,0.993
Australia,20/12/2020,Daily ICU occupancy,0
Australia,20/12/2020,Daily ICU occupancy per million,0
Australia,20/12/2020,Daily hospital occupancy,23
Australia,20/12/2020,Daily hospital occupancy per million,0.879
Australia,21/12/2020,Daily ICU occupancy,0
Australia,21/12/2020,Daily ICU occupancy per million,0
Australia,21/12/2020,Daily hospital occupancy,22
Australia,21/12/2020,Daily hospital occupancy per million,0.84
Australia,22/12/2020,Daily ICU occupancy,0
Australia,22/12/2020,Daily ICU occupancy per million,0
Australia,22/12/2020,Daily hospital occupancy,20
Australia,22/12/2020,Daily hospital occupancy per million,0.764
Australia,23/12/2020,Daily ICU occupancy,0
Australia,23/12/2020,Daily ICU occupancy per million,0
Australia,23/12/2020,Daily hospital occupancy,21
Australia,23/12/2020,Daily hospital occupancy per million,0.802
Australia,24/12/2020,Daily ICU occupancy,0
Australia,24/12/2020,Daily ICU occupancy per million,0
Australia,24/12/2020,Daily hospital occupancy,24
Australia,24/12/2020,Daily hospital occupancy per million,0.917
Australia,25/12/2020,Daily ICU occupancy,0
Australia,25/12/2020,Daily ICU occupancy per million,0
Australia,25/12/2020,Daily hospital occupancy,23
Australia,25/12/2020,Daily hospital occupancy per million,0.879
Australia,26/12/2020,Daily ICU occupancy,0
Australia,26/12/2020,Daily ICU occupancy per million,0
Australia,26/12/2020,Daily hospital occupancy,25
Australia,26/12/2020,Daily hospital occupancy per million,0.955
Australia,27/12/2020,Daily ICU occupancy,0
Australia,27/12/2020,Daily ICU occupancy per million,0
Australia,27/12/2020,Daily hospital occupancy,19
Australia,27/12/2020,Daily hospital occupancy per million,0.726
Australia,28/12/2020,Daily ICU occupancy,0
Australia,28/12/2020,Daily ICU occupancy per million,0
Australia,28/12/2020,Daily hospital occupancy,24
Australia,28/12/2020,Daily hospital occupancy per million,0.917
Australia,29/12/2020,Daily ICU occupancy,0
Australia,29/12/2020,Daily ICU occupancy per million,0
Australia,29/12/2020,Daily hospital occupancy,19
Australia,29/12/2020,Daily hospital occupancy per million,0.726
Australia,30/12/2020,Daily ICU occupancy,0
Australia,30/12/2020,Daily ICU occupancy per million,0
Australia,30/12/2020,Daily hospital occupancy,22
Australia,30/12/2020,Daily hospital occupancy per million,0.84
Australia,31/12/2020,Daily ICU occupancy,0
Australia,31/12/2020,Daily ICU occupancy per million,0
Australia,31/12/2020,Daily hospital occupancy,19
Australia,31/12/2020,Daily hospital occupancy per million,0.726
Australia,1/01/2021,Daily ICU occupancy,0
Australia,1/01/2021,Daily ICU occupancy per million,0
Australia,1/01/2021,Daily hospital occupancy,25
Australia,1/01/2021,Daily hospital occupancy per million,0.955
Australia,2/01/2021,Daily ICU occupancy,0
Australia,2/01/2021,Daily ICU occupancy per million,0
Australia,2/01/2021,Daily hospital occupancy,26
Australia,2/01/2021,Daily hospital occupancy per million,0.993
Australia,3/01/2021,Daily ICU occupancy,0
Australia,3/01/2021,Daily ICU occupancy per million,0
Australia,3/01/2021,Daily hospital occupancy,26
Australia,3/01/2021,Daily hospital occupancy per million,0.993
Australia,4/01/2021,Daily ICU occupancy,0
Australia,4/01/2021,Daily ICU occupancy per million,0
Australia,4/01/2021,Daily hospital occupancy,32
Australia,4/01/2021,Daily hospital occupancy per million,1.222
Australia,5/01/2021,Daily ICU occupancy,0
Australia,5/01/2021,Daily ICU occupancy per million,0
Australia,5/01/2021,Daily hospital occupancy,36
Australia,5/01/2021,Daily hospital occupancy per million,1.375
Australia,6/01/2021,Daily ICU occupancy,0
Australia,6/01/2021,Daily ICU occupancy per million,0
Australia,6/01/2021,Daily hospital occupancy,38
Australia,6/01/2021,Daily hospital occupancy per million,1.452
Australia,7/01/2021,Daily ICU occupancy,0
Australia,7/01/2021,Daily ICU occupancy per million,0
Australia,7/01/2021,Daily hospital occupancy,41
Australia,7/01/2021,Daily hospital occupancy per million,1.566
Australia,8/01/2021,Daily ICU occupancy,0
Australia,8/01/2021,Daily ICU occupancy per million,0
Australia,8/01/2021,Daily hospital occupancy,40
Australia,8/01/2021,Daily hospital occupancy per million,1.528
Australia,9/01/2021,Daily ICU occupancy,0
Australia,9/01/2021,Daily ICU occupancy per million,0
Australia,9/01/2021,Daily hospital occupancy,41
Australia,9/01/2021,Daily hospital occupancy per million,1.566
Australia,10/01/2021,Daily ICU occupancy,0
Australia,10/01/2021,Daily ICU occupancy per million,0
Australia,10/01/2021,Daily hospital occupancy,45
Australia,10/01/2021,Daily hospital occupancy per million,1.719
Australia,11/01/2021,Daily ICU occupancy,0
Australia,11/01/2021,Daily ICU occupancy per million,0
Australia,11/01/2021,Daily hospital occupancy,47
Australia,11/01/2021,Daily hospital occupancy per million,1.795
Australia,12/01/2021,Daily ICU occupancy,1
Australia,12/01/2021,Daily ICU occupancy per million,0.038
Australia,12/01/2021,Daily hospital occupancy,44
Australia,12/01/2021,Daily hospital occupancy per million,1.681
Australia,13/01/2021,Daily ICU occupancy,1
Australia,13/01/2021,Daily ICU occupancy per million,0.038
Australia,13/01/2021,Daily hospital occupancy,46
Australia,13/01/2021,Daily hospital occupancy per million,1.757
Australia,14/01/2021,Daily ICU occupancy,1
Australia,14/01/2021,Daily ICU occupancy per million,0.038
Australia,14/01/2021,Daily hospital occupancy,51
Australia,14/01/2021,Daily hospital occupancy per million,1.948
Australia,15/01/2021,Daily ICU occupancy,2
Australia,15/01/2021,Daily ICU occupancy per million,0.076
Australia,15/01/2021,Daily hospital occupancy,47
Australia,15/01/2021,Daily hospital occupancy per million,1.795
Australia,16/01/2021,Daily ICU occupancy,2
Australia,16/01/2021,Daily ICU occupancy per million,0.076
Australia,16/01/2021,Daily hospital occupancy,38
Australia,16/01/2021,Daily hospital occupancy per million,1.452
Australia,17/01/2021,Daily ICU occupancy,2
Australia,17/01/2021,Daily ICU occupancy per million,0.076
Australia,17/01/2021,Daily hospital occupancy,34
Australia,17/01/2021,Daily hospital occupancy per million,1.299
Australia,18/01/2021,Daily ICU occupancy,1
Australia,18/01/2021,Daily ICU occupancy per million,0.038
Australia,18/01/2021,Daily hospital occupancy,32
Australia,18/01/2021,Daily hospital occupancy per million,1.222
Australia,19/01/2021,Daily ICU occupancy,1
Australia,19/01/2021,Daily ICU occupancy per million,0.038
Australia,19/01/2021,Daily hospital occupancy,36
Australia,19/01/2021,Daily hospital occupancy per million,1.375
Australia,20/01/2021,Daily ICU occupancy,1
Australia,20/01/2021,Daily ICU occupancy per million,0.038
Australia,20/01/2021,Daily hospital occupancy,32
Australia,20/01/2021,Daily hospital occupancy per million,1.222
Australia,21/01/2021,Daily ICU occupancy,0
Australia,21/01/2021,Daily ICU occupancy per million,0
Australia,21/01/2021,Daily hospital occupancy,34
Australia,21/01/2021,Daily hospital occupancy per million,1.299
Australia,22/01/2021,Daily ICU occupancy,0
Australia,22/01/2021,Daily ICU occupancy per million,0
Australia,22/01/2021,Daily hospital occupancy,32
Australia,22/01/2021,Daily hospital occupancy per million,1.222
Australia,23/01/2021,Daily ICU occupancy,0
Australia,23/01/2021,Daily ICU occupancy per million,0
Australia,23/01/2021,Daily hospital occupancy,26
Australia,23/01/2021,Daily hospital occupancy per million,0.993
Australia,24/01/2021,Daily ICU occupancy,0
Australia,24/01/2021,Daily ICU occupancy per million,0
Australia,24/01/2021,Daily hospital occupancy,25
Australia,24/01/2021,Daily hospital occupancy per million,0.955
Australia,25/01/2021,Daily ICU occupancy,0
Australia,25/01/2021,Daily ICU occupancy per million,0
Australia,25/01/2021,Daily hospital occupancy,28
Australia,25/01/2021,Daily hospital occupancy per million,1.07
Australia,26/01/2021,Daily ICU occupancy,0
Australia,26/01/2021,Daily ICU occupancy per million,0
Australia,26/01/2021,Daily hospital occupancy,21
Australia,26/01/2021,Daily hospital occupancy per million,0.802
Australia,27/01/2021,Daily ICU occupancy,0
Australia,27/01/2021,Daily ICU occupancy per million,0
Australia,27/01/2021,Daily hospital occupancy,21
Australia,27/01/2021,Daily hospital occupancy per million,0.802
Australia,28/01/2021,Daily ICU occupancy,0
Australia,28/01/2021,Daily ICU occupancy per million,0
Australia,28/01/2021,Daily hospital occupancy,20
Australia,28/01/2021,Daily hospital occupancy per million,0.764
Australia,29/01/2021,Daily ICU occupancy,0
Australia,29/01/2021,Daily ICU occupancy per million,0
Australia,29/01/2021,Daily hospital occupancy,14
Australia,29/01/2021,Daily hospital occupancy per million,0.535
Australia,30/01/2021,Daily ICU occupancy,0
Australia,30/01/2021,Daily ICU occupancy per million,0
Australia,30/01/2021,Daily hospital occupancy,14
Australia,30/01/2021,Daily hospital occupancy per million,0.535
Australia,31/01/2021,Daily ICU occupancy,0
Australia,31/01/2021,Daily ICU occupancy per million,0
Australia,31/01/2021,Daily hospital occupancy,10
Australia,31/01/2021,Daily hospital occupancy per million,0.382
Australia,1/02/2021,Daily ICU occupancy,0
Australia,1/02/2021,Daily ICU occupancy per million,0
Australia,1/02/2021,Daily hospital occupancy,9
Australia,1/02/2021,Daily hospital occupancy per million,0.344
Australia,2/02/2021,Daily ICU occupancy,0
Australia,2/02/2021,Daily ICU occupancy per million,0
Australia,2/02/2021,Daily hospital occupancy,9
Australia,2/02/2021,Daily hospital occupancy per million,0.344
Australia,3/02/2021,Daily ICU occupancy,0
Australia,3/02/2021,Daily ICU occupancy per million,0
Australia,3/02/2021,Daily hospital occupancy,10
Australia,3/02/2021,Daily hospital occupancy per million,0.382
Australia,4/02/2021,Daily ICU occupancy,0
Australia,4/02/2021,Daily ICU occupancy per million,0
Australia,4/02/2021,Daily hospital occupancy,9
Australia,4/02/2021,Daily hospital occupancy per million,0.344
Australia,5/02/2021,Daily ICU occupancy,0
Australia,5/02/2021,Daily ICU occupancy per million,0
Australia,5/02/2021,Daily hospital occupancy,9
Australia,5/02/2021,Daily hospital occupancy per million,0.344
Australia,6/02/2021,Daily ICU occupancy,0
Australia,6/02/2021,Daily ICU occupancy per million,0
Australia,6/02/2021,Daily hospital occupancy,11
Australia,6/02/2021,Daily hospital occupancy per million,0.42
Australia,7/02/2021,Daily ICU occupancy,0
Australia,7/02/2021,Daily ICU occupancy per million,0
Australia,7/02/2021,Daily hospital occupancy,10
Australia,7/02/2021,Daily hospital occupancy per million,0.382
Australia,8/02/2021,Daily ICU occupancy,1
Australia,8/02/2021,Daily ICU occupancy per million,0.038
Australia,8/02/2021,Daily hospital occupancy,11
Australia,8/02/2021,Daily hospital occupancy per million,0.42
Australia,9/02/2021,Daily ICU occupancy,1
Australia,9/02/2021,Daily ICU occupancy per million,0.038
Australia,9/02/2021,Daily hospital occupancy,12
Australia,9/02/2021,Daily hospital occupancy per million,0.458
Australia,10/02/2021,Daily ICU occupancy,1
Australia,10/02/2021,Daily ICU occupancy per million,0.038
Australia,10/02/2021,Daily hospital occupancy,11
Australia,10/02/2021,Daily hospital occupancy per million,0.42
Australia,11/02/2021,Daily ICU occupancy,1
Australia,11/02/2021,Daily ICU occupancy per million,0.038
Australia,11/02/2021,Daily hospital occupancy,12
Australia,11/02/2021,Daily hospital occupancy per million,0.458
Australia,12/02/2021,Daily ICU occupancy,0
Australia,12/02/2021,Daily ICU occupancy per million,0
Australia,12/02/2021,Daily hospital occupancy,11
Australia,12/02/2021,Daily hospital occupancy per million,0.42
Australia,13/02/2021,Daily ICU occupancy,0
Australia,13/02/2021,Daily ICU occupancy per million,0
Australia,13/02/2021,Daily hospital occupancy,14
Australia,13/02/2021,Daily hospital occupancy per million,0.535
Australia,14/02/2021,Daily ICU occupancy,0
Australia,14/02/2021,Daily ICU occupancy per million,0
Australia,14/02/2021,Daily hospital occupancy,14
Australia,14/02/2021,Daily hospital occupancy per million,0.535
Australia,15/02/2021,Daily ICU occupancy,0
Australia,15/02/2021,Daily ICU occupancy per million,0
Australia,15/02/2021,Daily hospital occupancy,12
Australia,15/02/2021,Daily hospital occupancy per million,0.458
Australia,16/02/2021,Daily ICU occupancy,0
Australia,16/02/2021,Daily ICU occupancy per million,0
Australia,16/02/2021,Daily hospital occupancy,11
Australia,16/02/2021,Daily hospital occupancy per million,0.42
Australia,17/02/2021,Daily ICU occupancy,0
Australia,17/02/2021,Daily ICU occupancy per million,0
Australia,17/02/2021,Daily hospital occupancy,12
Australia,17/02/2021,Daily hospital occupancy per million,0.458
Australia,18/02/2021,Daily ICU occupancy,1
Australia,18/02/2021,Daily ICU occupancy per million,0.038
Australia,18/02/2021,Daily hospital occupancy,10
Australia,18/02/2021,Daily hospital occupancy per million,0.382
Australia,19/02/2021,Daily ICU occupancy,1
Australia,19/02/2021,Daily ICU occupancy per million,0.038
Australia,19/02/2021,Daily hospital occupancy,10
Australia,19/02/2021,Daily hospital occupancy per million,0.382
Australia,20/02/2021,Daily ICU occupancy,1
Australia,20/02/2021,Daily ICU occupancy per million,0.038
Australia,20/02/2021,Daily hospital occupancy,10
Australia,20/02/2021,Daily hospital occupancy per million,0.382
Australia,21/02/2021,Daily ICU occupancy,1
Australia,21/02/2021,Daily ICU occupancy per million,0.038
Australia,21/02/2021,Daily hospital occupancy,11
Australia,21/02/2021,Daily hospital occupancy per million,0.42
Australia,22/02/2021,Daily ICU occupancy,0
Australia,22/02/2021,Daily ICU occupancy per million,0
Australia,22/02/2021,Daily hospital occupancy,11
Australia,22/02/2021,Daily hospital occupancy per million,0.42
Australia,23/02/2021,Daily ICU occupancy,0
Australia,23/02/2021,Daily ICU occupancy per million,0
Australia,23/02/2021,Daily hospital occupancy,12
Australia,23/02/2021,Daily hospital occupancy per million,0.458
Australia,24/02/2021,Daily ICU occupancy,0
Australia,24/02/2021,Daily ICU occupancy per million,0
Australia,24/02/2021,Daily hospital occupancy,13
Australia,24/02/2021,Daily hospital occupancy per million,0.497
Australia,25/02/2021,Daily ICU occupancy,0
Australia,25/02/2021,Daily ICU occupancy per million,0
Australia,25/02/2021,Daily hospital occupancy,17
Australia,25/02/2021,Daily hospital occupancy per million,0.649
Australia,26/02/2021,Daily ICU occupancy,1
Australia,26/02/2021,Daily ICU occupancy per million,0.038
Australia,26/02/2021,Daily hospital occupancy,21
Australia,26/02/2021,Daily hospital occupancy per million,0.802
Australia,27/02/2021,Daily ICU occupancy,0
Australia,27/02/2021,Daily ICU occupancy per million,0
Australia,27/02/2021,Daily hospital occupancy,19
Australia,27/02/2021,Daily hospital occupancy per million,0.726
Australia,28/02/2021,Daily ICU occupancy,1
Australia,28/02/2021,Daily ICU occupancy per million,0.038
Australia,28/02/2021,Daily hospital occupancy,17
Australia,28/02/2021,Daily hospital occupancy per million,0.649
Australia,1/03/2021,Daily ICU occupancy,1
Australia,1/03/2021,Daily ICU occupancy per million,0.038
Australia,1/03/2021,Daily hospital occupancy,24
Australia,1/03/2021,Daily hospital occupancy per million,0.917
Australia,2/03/2021,Daily ICU occupancy,1
Australia,2/03/2021,Daily ICU occupancy per million,0.038
Australia,2/03/2021,Daily hospital occupancy,20
Australia,2/03/2021,Daily hospital occupancy per million,0.764
Australia,3/03/2021,Daily ICU occupancy,1
Australia,3/03/2021,Daily ICU occupancy per million,0.038
Australia,3/03/2021,Daily hospital occupancy,27
Australia,3/03/2021,Daily hospital occupancy per million,1.031
Australia,4/03/2021,Daily ICU occupancy,1
Australia,4/03/2021,Daily ICU occupancy per million,0.038
Australia,4/03/2021,Daily hospital occupancy,24
Australia,4/03/2021,Daily hospital occupancy per million,0.917
Australia,5/03/2021,Daily ICU occupancy,1
Australia,5/03/2021,Daily ICU occupancy per million,0.038
Australia,5/03/2021,Daily hospital occupancy,27
Australia,5/03/2021,Daily hospital occupancy per million,1.031
Australia,6/03/2021,Daily ICU occupancy,1
Australia,6/03/2021,Daily ICU occupancy per million,0.038
Australia,6/03/2021,Daily hospital occupancy,29
Australia,6/03/2021,Daily hospital occupancy per million,1.108
Australia,7/03/2021,Daily ICU occupancy,1
Australia,7/03/2021,Daily ICU occupancy per million,0.038
Australia,7/03/2021,Daily hospital occupancy,29
Australia,7/03/2021,Daily hospital occupancy per million,1.108
Australia,8/03/2021,Daily ICU occupancy,1
Australia,8/03/2021,Daily ICU occupancy per million,0.038
Australia,8/03/2021,Daily hospital occupancy,29
Australia,8/03/2021,Daily hospital occupancy per million,1.108
Australia,9/03/2021,Daily ICU occupancy,1
Australia,9/03/2021,Daily ICU occupancy per million,0.038
Australia,9/03/2021,Daily hospital occupancy,42
Australia,9/03/2021,Daily hospital occupancy per million,1.604
Australia,10/03/2021,Daily ICU occupancy,0
Australia,10/03/2021,Daily ICU occupancy per million,0
Australia,10/03/2021,Daily hospital occupancy,46
Australia,10/03/2021,Daily hospital occupancy per million,1.757
Australia,11/03/2021,Daily ICU occupancy,0
Australia,11/03/2021,Daily ICU occupancy per million,0
Australia,11/03/2021,Daily hospital occupancy,44
Australia,11/03/2021,Daily hospital occupancy per million,1.681
Australia,12/03/2021,Daily ICU occupancy,0
Australia,12/03/2021,Daily ICU occupancy per million,0
Australia,12/03/2021,Daily hospital occupancy,48
Australia,12/03/2021,Daily hospital occupancy per million,1.834
Australia,13/03/2021,Daily ICU occupancy,0
Australia,13/03/2021,Daily ICU occupancy per million,0
Australia,13/03/2021,Daily hospital occupancy,41
Australia,13/03/2021,Daily hospital occupancy per million,1.566
Australia,14/03/2021,Daily ICU occupancy,0
Australia,14/03/2021,Daily ICU occupancy per million,0
Australia,14/03/2021,Daily hospital occupancy,37
Australia,14/03/2021,Daily hospital occupancy per million,1.413
Australia,15/03/2021,Daily ICU occupancy,0
Australia,15/03/2021,Daily ICU occupancy per million,0
Australia,15/03/2021,Daily hospital occupancy,43
Australia,15/03/2021,Daily hospital occupancy per million,1.643
Australia,16/03/2021,Daily ICU occupancy,1
Australia,16/03/2021,Daily ICU occupancy per million,0.038
Australia,16/03/2021,Daily hospital occupancy,47
Australia,16/03/2021,Daily hospital occupancy per million,1.795
Australia,17/03/2021,Daily ICU occupancy,0
Australia,17/03/2021,Daily ICU occupancy per million,0
Australia,17/03/2021,Daily hospital occupancy,46
Australia,17/03/2021,Daily hospital occupancy per million,1.757
Australia,18/03/2021,Daily ICU occupancy,1
Australia,18/03/2021,Daily ICU occupancy per million,0.038
Australia,18/03/2021,Daily hospital occupancy,63
Australia,18/03/2021,Daily hospital occupancy per million,2.407
Australia,19/03/2021,Daily ICU occupancy,3
Australia,19/03/2021,Daily ICU occupancy per million,0.115
Australia,19/03/2021,Daily hospital occupancy,64
Australia,19/03/2021,Daily hospital occupancy per million,2.445
Australia,20/03/2021,Daily ICU occupancy,2
Australia,20/03/2021,Daily ICU occupancy per million,0.076
Australia,20/03/2021,Daily hospital occupancy,60
Australia,20/03/2021,Daily hospital occupancy per million,2.292
Australia,21/03/2021,Daily ICU occupancy,1
Australia,21/03/2021,Daily ICU occupancy per million,0.038
Australia,21/03/2021,Daily hospital occupancy,64
Australia,21/03/2021,Daily hospital occupancy per million,2.445
Australia,22/03/2021,Daily ICU occupancy,1
Australia,22/03/2021,Daily ICU occupancy per million,0.038
Australia,22/03/2021,Daily hospital occupancy,66
Australia,22/03/2021,Daily hospital occupancy per million,2.521
Australia,23/03/2021,Daily ICU occupancy,1
Australia,23/03/2021,Daily ICU occupancy per million,0.038
Australia,23/03/2021,Daily hospital occupancy,72
Australia,23/03/2021,Daily hospital occupancy per million,2.75
Australia,24/03/2021,Daily ICU occupancy,1
Australia,24/03/2021,Daily ICU occupancy per million,0.038
Australia,24/03/2021,Daily hospital occupancy,71
Australia,24/03/2021,Daily hospital occupancy per million,2.712
Australia,25/03/2021,Daily ICU occupancy,1
Australia,25/03/2021,Daily ICU occupancy per million,0.038
Australia,25/03/2021,Daily hospital occupancy,73
Australia,25/03/2021,Daily hospital occupancy per million,2.789
Australia,26/03/2021,Daily ICU occupancy,2
Australia,26/03/2021,Daily ICU occupancy per million,0.076
Australia,26/03/2021,Daily hospital occupancy,75
Australia,26/03/2021,Daily hospital occupancy per million,2.865
Australia,27/03/2021,Daily ICU occupancy,2
Australia,27/03/2021,Daily ICU occupancy per million,0.076
Australia,27/03/2021,Daily hospital occupancy,77
Australia,27/03/2021,Daily hospital occupancy per million,2.941
Australia,28/03/2021,Daily ICU occupancy,2
Australia,28/03/2021,Daily ICU occupancy per million,0.076
Australia,28/03/2021,Daily hospital occupancy,78
Australia,28/03/2021,Daily hospital occupancy per million,2.98
Australia,29/03/2021,Daily ICU occupancy,2
Australia,29/03/2021,Daily ICU occupancy per million,0.076
Australia,29/03/2021,Daily hospital occupancy,83
Australia,29/03/2021,Daily hospital occupancy per million,3.171
Australia,30/03/2021,Daily ICU occupancy,1
Australia,30/03/2021,Daily ICU occupancy per million,0.038
Australia,30/03/2021,Daily hospital occupancy,76
