Date,NSW,,VIC,,QLD,,WA,,SA,,TAS,,ACT,,NT
5-Jul-21,0.93%,,3.96%,,0.41%,,0.87%,,0.49%,,5.56%,,2.42%,,0.00%
6-Jul-21,0.93%,,3.96%,,0.41%,,0.87%,,0.49%,,5.56%,,2.42%,,0.00%
7-Jul-21,0.92%,,3.96%,,0.41%,,0.87%,,0.49%,,5.56%,,2.42%,,0.00%
8-Jul-21,0.92%,,3.96%,,0.40%,,0.87%,,0.49%,,5.56%,,2.42%,,0.00%
9-Jul-21,0.91%,,3.96%,,0.40%,,0.87%,,0.49%,,5.56%,,2.42%,,0.00%
10-Jul-21,0.90%,,3.96%,,0.40%,,0.87%,,0.49%,,5.56%,,2.42%,,0.00%
11-Jul-21,0.90%,,3.96%,,0.40%,,0.87%,,0.49%,,5.56%,,2.42%,,0.00%
12-Jul-21,0.89%,,3.96%,,0.40%,,0.87%,,0.49%,,5.56%,,2.42%,,0.00%
13-Jul-21,0.89%,,3.96%,,0.40%,,0.87%,,0.49%,,5.56%,,2.42%,,0.00%
14-Jul-21,0.88%,,3.96%,,0.40%,,0.87%,,0.49%,,5.56%,,2.42%,,0.00%
15-Jul-21,0.87%,,3.96%,,0.40%,,0.87%,,0.49%,,5.56%,,2.42%,,0.00%
16-Jul-21,0.86%,,3.95%,,0.40%,,0.87%,,0.48%,,5.56%,,2.42%,,0.00%
17-Jul-21,0.86%,,3.95%,,0.40%,,0.87%,,0.48%,,5.56%,,2.42%,,0.00%
18-Jul-21,0.86%,,3.95%,,0.40%,,0.87%,,0.48%,,5.56%,,2.42%,,0.00%
19-Jul-21,0.84%,,3.94%,,0.40%,,0.87%,,0.48%,,5.56%,,2.42%,,0.00%
20-Jul-21,0.85%,,3.94%,,0.40%,,0.86%,,0.48%,,5.56%,,2.42%,,0.00%
21-Jul-21,0.84%,,3.94%,,0.40%,,0.86%,,0.48%,,5.56%,,2.42%,,0.00%
22-Jul-21,0.82%,,3.93%,,0.40%,,0.86%,,0.47%,,5.56%,,2.42%,,0.00%
23-Jul-21,0.82%,,3.93%,,0.40%,,0.86%,,0.47%,,5.56%,,2.42%,,0.00%
24-Jul-21,0.80%,,3.93%,,0.40%,,0.86%,,0.47%,,5.56%,,2.42%,,0.00%
25-Jul-21,0.81%,,3.92%,,0.40%,,0.86%,,0.47%,,5.56%,,2.42%,,0.00%
26-Jul-21,0.80%,,3.92%,,0.40%,,0.86%,,0.47%,,5.56%,,2.42%,,0.00%
27-Jul-21,0.81%,,3.92%,,0.40%,,0.86%,,0.47%,,5.56%,,2.42%,,0.00%
28-Jul-21,0.80%,,3.92%,,0.39%,,0.86%,,0.47%,,5.56%,,2.42%,,0.00%
29-Jul-21,0.80%,,3.92%,,0.39%,,0.85%,,0.47%,,5.56%,,2.42%,,0.00%
30-Jul-21,0.79%,,3.92%,,0.39%,,0.85%,,0.47%,,5.56%,,2.42%,,0.00%
31-Jul-21,0.77%,,3.92%,,0.39%,,0.85%,,0.47%,,5.56%,,2.42%,,0.00%
1-Aug-21,0.76%,,3.92%,,0.39%,,0.85%,,0.46%,,5.56%,,2.42%,,0.00%
2-Aug-21,0.75%,,3.91%,,0.38%,,0.85%,,0.46%,,5.56%,,2.42%,,0.00%
3-Aug-21,0.74%,,3.91%,,0.38%,,0.85%,,0.46%,,5.56%,,2.42%,,0.00%
4-Aug-21,0.74%,,3.91%,,0.38%,,0.85%,,0.46%,,5.56%,,2.42%,,0.00%
5-Aug-21,0.77%,,3.91%,,0.37%,,0.85%,,0.46%,,5.53%,,2.42%,,0.00%
6-Aug-21,0.76%,,3.91%,,0.37%,,0.85%,,0.46%,,5.53%,,2.42%,,0.00%
7-Aug-21,0.78%,,3.91%,,0.37%,,0.85%,,0.46%,,5.53%,,2.42%,,0.00%
8-Aug-21,0.77%,,3.90%,,0.37%,,0.85%,,0.46%,,5.53%,,2.42%,,0.00%
9-Aug-21,0.76%,,3.90%,,0.36%,,0.85%,,0.46%,,5.53%,,2.42%,,0.00%
10-Aug-21,0.77%,,3.90%,,0.36%,,0.85%,,0.46%,,5.53%,,2.42%,,0.00%
11-Aug-21,0.76%,,3.89%,,0.36%,,0.85%,,0.46%,,5.53%,,2.42%,,0.00%
12-Aug-21,0.75%,,3.89%,,0.36%,,0.85%,,0.46%,,5.53%,,2.42%,,0.00%
13-Aug-21,0.75%,,3.89%,,0.36%,,0.85%,,0.46%,,5.53%,,2.31%,,0.00%
14-Aug-21,0.75%,,3.88%,,0.36%,,0.85%,,0.46%,,5.53%,,2.31%,,0.00%
15-Aug-21,0.77%,,3.88%,,0.36%,,0.85%,,0.46%,,5.53%,,2.26%,,0.00%
16-Aug-21,0.79%,,3.88%,,0.36%,,0.85%,,0.46%,,5.53%,,2.04%,,0.00%
17-Aug-21,0.78%,,3.87%,,0.36%,,0.85%,,0.46%,,5.53%,,1.82%,,0.00%
18-Aug-21,0.77%,,3.87%,,0.36%,,0.85%,,0.46%,,5.53%,,1.61%,,0.00%
19-Aug-21,0.74%,,3.86%,,0.36%,,0.85%,,0.46%,,5.53%,,1.50%,,0.00%
20-Aug-21,0.73%,,3.85%,,0.36%,,0.85%,,0.46%,,5.53%,,1.40%,,0.00%
21-Aug-21,0.72%,,3.83%,,0.36%,,0.85%,,0.46%,,5.53%,,1.32%,,0.00%
22-Aug-21,0.70%,,3.82%,,0.36%,,0.85%,,0.46%,,5.53%,,1.22%,,0.00%
23-Aug-21,0.69%,,3.81%,,0.36%,,0.85%,,0.46%,,5.53%,,1.15%,,0.00%
24-Aug-21,0.66%,,3.80%,,0.36%,,0.85%,,0.46%,,5.53%,,1.03%,,0.00%
25-Aug-21,0.64%,,3.80%,,0.36%,,0.83%,,0.46%,,5.53%,,1.00%,,0.00%
26-Aug-21,0.63%,,3.78%,,0.36%,,0.83%,,0.46%,,5.53%,,0.96%,,0.00%
27-Aug-21,0.61%,,3.77%,,0.36%,,0.83%,,0.46%,,5.53%,,0.87%,,0.00%
28-Aug-21,0.59%,,3.76%,,0.35%,,0.83%,,0.46%,,5.53%,,0.83%,,0.00%
29-Aug-21,0.58%,,3.74%,,0.35%,,0.83%,,0.46%,,5.53%,,0.80%,,0.00%
30-Aug-21,0.57%,,3.73%,,0.35%,,0.83%,,0.46%,,5.53%,,0.78%,,0.00%
31-Aug-21,0.56%,,3.72%,,0.35%,,0.83%,,0.46%,,5.53%,,0.75%,,0.00%
1-Sep-21,0.55%,,3.71%,,0.35%,,0.83%,,0.46%,,5.53%,,0.71%,,0.00%
2-Sep-21,0.55%,,3.68%,,0.35%,,0.83%,,0.46%,,5.53%,,0.69%,,0.00%
3-Sep-21,0.56%,,3.65%,,0.35%,,0.83%,,0.46%,,5.53%,,0.67%,,0.00%
4-Sep-21,0.55%,,3.62%,,0.35%,,0.83%,,0.46%,,5.53%,,0.62%,,0.00%
5-Sep-21,0.54%,,3.59%,,0.35%,,0.83%,,0.45%,,5.53%,,0.60%,,0.00%
6-Sep-21,0.54%,,3.55%,,0.35%,,0.83%,,0.45%,,5.53%,,0.59%,,0.00%
7-Sep-21,0.54%,,3.52%,,0.35%,,0.83%,,0.45%,,5.53%,,0.57%,,0.00%
8-Sep-21,0.54%,,3.48%,,0.35%,,0.83%,,0.45%,,5.53%,,0.54%,,0.00%
9-Sep-21,0.54%,,3.44%,,0.35%,,0.83%,,0.45%,,5.53%,,0.53%,,0.00%
10-Sep-21,0.54%,,3.39%,,0.35%,,0.83%,,0.45%,,5.53%,,0.51%,,0.00%
11-Sep-21,0.54%,,3.33%,,0.35%,,0.83%,,0.45%,,5.53%,,0.50%,,0.00%
12-Sep-21,0.54%,,3.28%,,0.35%,,0.83%,,0.45%,,5.53%,,0.48%,,0.00%
13-Sep-21,0.54%,,3.22%,,0.35%,,0.83%,,0.45%,,5.53%,,0.47%,,0.00%
14-Sep-21,0.53%,,3.18%,,0.35%,,0.83%,,0.45%,,5.53%,,0.46%,,0.00%
15-Sep-21,0.54%,,3.14%,,0.35%,,0.83%,,0.45%,,5.53%,,0.45%,,0.00%
16-Sep-21,0.55%,,3.08%,,0.35%,,0.83%,,0.45%,,5.53%,,0.44%,,0.00%
17-Sep-21,0.56%,,3.03%,,0.35%,,0.83%,,0.45%,,5.53%,,0.42%,,0.00%
18-Sep-21,0.56%,,2.98%,,0.35%,,0.82%,,0.45%,,5.53%,,0.41%,,0.00%
19-Sep-21,0.57%,,2.93%,,0.35%,,0.82%,,0.45%,,5.53%,,0.40%,,0.00%
20-Sep-21,0.57%,,2.87%,,0.35%,,0.82%,,0.45%,,5.53%,,0.40%,,0.00%
21-Sep-21,0.58%,,2.82%,,0.35%,,0.82%,,0.45%,,5.53%,,0.39%,,0.00%
22-Sep-21,0.58%,,2.77%,,0.35%,,0.82%,,0.45%,,5.53%,,0.38%,,0.00%
23-Sep-21,0.58%,,2.72%,,0.35%,,0.82%,,0.44%,,5.53%,,0.38%,,0.00%
24-Sep-21,0.59%,,2.66%,,0.35%,,0.82%,,0.44%,,5.53%,,0.37%,,0.00%
25-Sep-21,0.59%,,2.59%,,0.35%,,0.82%,,0.44%,,5.53%,,0.35%,,0.00%
26-Sep-21,0.60%,,2.54%,,0.35%,,0.82%,,0.44%,,5.53%,,0.34%,,0.00%
27-Sep-21,0.61%,,2.48%,,0.35%,,0.82%,,0.44%,,5.53%,,0.45%,,0.00%
28-Sep-21,0.62%,,2.43%,,0.35%,,0.82%,,0.44%,,5.53%,,0.44%,,0.00%
29-Sep-21,0.63%,,2.39%,,0.35%,,0.82%,,0.44%,,5.53%,,0.43%,,0.00%
30-Sep-21,0.63%,,2.31%,,0.34%,,0.82%,,0.44%,,5.53%,,0.42%,,0.00%
1-Oct-21,0.65%,,2.25%,,0.34%,,0.82%,,0.44%,,5.53%,,0.59%,,0.00%
2-Oct-21,0.65%,,2.17%,,0.34%,,0.82%,,0.44%,,5.53%,,0.57%,,0.00%
3-Oct-21,0.66%,,2.12%,,0.34%,,0.82%,,0.44%,,5.51%,,0.55%,,0.00%
4-Oct-21,0.67%,,2.06%,,0.34%,,0.81%,,0.44%,,5.51%,,0.71%,,0.00%
5-Oct-21,0.67%,,1.98%,,0.34%,,0.81%,,0.44%,,5.51%,,0.69%,,0.00%
6-Oct-21,0.68%,,1.95%,,0.34%,,0.81%,,0.44%,,5.51%,,0.76%,,0.00%
7-Oct-21,0.69%,,1.89%,,0.34%,,0.81%,,0.44%,,5.51%,,0.73%,,0.00%
8-Oct-21,0.69%,,1.83%,,0.34%,,0.81%,,0.44%,,5.51%,,0.71%,,0.00%
9-Oct-21,0.71%,,1.77%,,0.34%,,0.81%,,0.44%,,5.51%,,0.69%,,0.00%
10-Oct-21,0.71%,,1.72%,,0.34%,,0.81%,,0.44%,,5.51%,,0.68%,,0.00%
11-Oct-21,0.72%,,1.68%,,0.34%,,0.81%,,0.44%,,5.51%,,0.66%,,0.00%
12-Oct-21,0.72%,,1.65%,,0.34%,,0.81%,,0.44%,,5.51%,,0.65%,,0.00%
13-Oct-21,0.72%,,1.63%,,0.34%,,0.81%,,0.44%,,5.51%,,0.63%,,0.00%
14-Oct-21,0.73%,,1.59%,,0.34%,,0.81%,,0.44%,,5.49%,,0.67%,,0.00%
15-Oct-21,0.73%,,1.54%,,0.34%,,0.81%,,0.44%,,5.49%,,0.72%,,0.00%
16-Oct-21,0.73%,,1.50%,,0.34%,,0.81%,,0.44%,,5.49%,,0.72%,,0.00%
17-Oct-21,0.74%,,1.47%,,0.34%,,0.81%,,0.44%,,5.49%,,0.70%,,0.00%
18-Oct-21,0.74%,,1.44%,,0.34%,,0.81%,,0.44%,,5.49%,,0.69%,,0.00%
19-Oct-21,0.74%,,1.42%,,0.34%,,0.81%,,0.44%,,5.49%,,0.68%,,0.00%
20-Oct-21,0.75%,,1.40%,,0.34%,,0.81%,,0.44%,,5.49%,,0.67%,,0.00%
21-Oct-21,0.75%,,1.38%,,0.34%,,0.81%,,0.44%,,5.49%,,0.66%,,0.00%
22-Oct-21,0.75%,,1.36%,,0.34%,,0.81%,,0.44%,,5.49%,,0.66%,,0.00%
23-Oct-21,0.75%,,1.34%,,0.34%,,0.81%,,0.44%,,5.49%,,0.65%,,0.00%
24-Oct-21,0.75%,,1.33%,,0.34%,,0.81%,,0.44%,,5.49%,,0.64%,,0.00%
25-Oct-21,0.76%,,1.31%,,0.34%,,0.81%,,0.44%,,5.49%,,0.64%,,0.00%
26-Oct-21,0.75%,,1.29%,,0.34%,,0.81%,,0.44%,,5.49%,,0.64%,,0.00%
27-Oct-21,0.76%,,1.29%,,0.34%,,0.81%,,0.44%,,5.49%,,0.63%,,0.00%
28-Oct-21,0.76%,,1.29%,,0.34%,,0.81%,,0.44%,,5.49%,,0.63%,,0.00%
29-Oct-21,0.76%,,1.28%,,0.34%,,0.81%,,0.44%,,5.49%,,0.62%,,0.00%
30-Oct-21,0.76%,,1.27%,,0.34%,,0.81%,,0.44%,,5.49%,,0.62%,,0.00%
31-Oct-21,0.76%,,1.27%,,0.34%,,0.81%,,0.44%,,5.49%,,0.62%,,0.00%
1-Nov-21,0.76%,,1.25%,,0.34%,,0.81%,,0.44%,,5.49%,,0.73%,,0.00%
2-Nov-21,0.76%,,1.25%,,0.34%,,0.81%,,0.44%,,5.49%,,0.73%,,0.00%
3-Nov-21,0.77%,,1.24%,,0.34%,,0.81%,,0.44%,,5.49%,,0.72%,,0.00%
4-Nov-21,0.77%,,1.24%,,0.34%,,0.81%,,0.44%,,5.49%,,0.72%,,0.00%
5-Nov-21,0.77%,,1.23%,,0.33%,,0.81%,,0.44%,,5.49%,,0.77%,,0.00%
6-Nov-21,0.77%,,1.22%,,0.33%,,0.81%,,0.44%,,5.49%,,0.76%,,0.00%
7-Nov-21,0.77%,,1.22%,,0.33%,,0.81%,,0.44%,,5.49%,,0.76%,,0.00%
8-Nov-21,0.78%,,1.21%,,0.33%,,0.81%,,0.44%,,5.49%,,0.75%,,0.00%
9-Nov-21,0.78%,,1.21%,,0.33%,,0.81%,,0.44%,,5.49%,,0.74%,,0.00%
10-Nov-21,0.78%,,1.21%,,0.33%,,0.81%,,0.44%,,5.49%,,0.74%,,0.00%
11-Nov-21,0.78%,,1.20%,,0.33%,,0.81%,,0.44%,,5.49%,,0.74%,,0.00%
12-Nov-21,0.78%,,1.19%,,0.33%,,0.81%,,0.44%,,5.49%,,0.73%,,0.00%
13-Nov-21,0.78%,,1.18%,,0.33%,,0.81%,,0.44%,,5.49%,,0.73%,,0.00%
14-Nov-21,0.78%,,1.18%,,0.33%,,0.81%,,0.44%,,5.49%,,0.72%,,0.00%
15-Nov-21,0.78%,,1.17%,,0.33%,,0.81%,,0.44%,,5.46%,,0.72%,,0.00%
16-Nov-21,0.78%,,1.17%,,0.33%,,0.81%,,0.43%,,5.46%,,0.71%,,0.00%
17-Nov-21,0.78%,,1.17%,,0.33%,,0.81%,,0.43%,,5.46%,,0.71%,,0.00%
18-Nov-21,0.78%,,1.17%,,0.33%,,0.81%,,0.43%,,5.46%,,0.70%,,0.00%
19-Nov-21,0.78%,,1.16%,,0.33%,,0.81%,,0.43%,,5.46%,,0.70%,,0.00%
20-Nov-21,0.78%,,1.15%,,0.33%,,0.80%,,0.43%,,5.46%,,0.69%,,0.00%
21-Nov-21,0.78%,,1.14%,,0.33%,,0.80%,,0.43%,,5.46%,,0.69%,,0.00%
22-Nov-21,0.78%,,1.14%,,0.33%,,0.80%,,0.43%,,5.44%,,0.68%,,0.00%
23-Nov-21,0.78%,,1.15%,,0.33%,,0.80%,,0.43%,,5.44%,,0.68%,,0.00%
24-Nov-21,0.78%,,1.14%,,0.33%,,0.80%,,0.43%,,5.44%,,0.67%,,0.00%
25-Nov-21,0.78%,,1.13%,,0.33%,,0.80%,,0.43%,,5.44%,,0.67%,,0.00%
26-Nov-21,0.77%,,1.12%,,0.33%,,0.80%,,0.43%,,5.44%,,0.67%,,0.00%
27-Nov-21,0.77%,,1.11%,,0.33%,,0.80%,,0.43%,,5.44%,,0.66%,,0.00%
28-Nov-21,0.77%,,1.11%,,0.33%,,0.80%,,0.43%,,5.44%,,0.66%,,0.00%
29-Nov-21,0.77%,,1.10%,,0.33%,,0.80%,,0.43%,,5.44%,,0.66%,,0.00%
30-Nov-21,0.77%,,1.10%,,0.33%,,0.80%,,0.43%,,5.44%,,0.66%,,0.00%
1-Dec-21,0.77%,,1.09%,,0.33%,,0.80%,,0.43%,,5.42%,,0.66%,,0.00%
2-Dec-21,0.77%,,1.09%,,0.33%,,0.80%,,0.42%,,5.42%,,0.65%,,0.00%
3-Dec-21,0.76%,,1.09%,,0.33%,,0.80%,,0.42%,,5.42%,,0.65%,,0.34%
4-Dec-21,0.76%,,1.08%,,0.33%,,0.80%,,0.42%,,5.42%,,0.65%,,0.34%
5-Dec-21,0.76%,,1.08%,,0.33%,,0.80%,,0.41%,,5.42%,,0.65%,,0.34%
6-Dec-21,0.76%,,1.08%,,0.33%,,0.80%,,0.41%,,5.42%,,0.65%,,0.34%
7-Dec-21,0.76%,,1.07%,,0.33%,,0.80%,,0.41%,,5.42%,,0.65%,,0.34%
8-Dec-21,0.76%,,1.06%,,0.33%,,0.80%,,0.41%,,5.42%,,0.69%,,0.33%
9-Dec-21,0.75%,,1.06%,,0.33%,,0.80%,,0.41%,,5.42%,,0.69%,,0.33%
10-Dec-21,0.75%,,1.05%,,0.32%,,0.80%,,0.40%,,5.42%,,0.69%,,0.33%
11-Dec-21,0.75%,,1.05%,,0.32%,,0.80%,,0.40%,,5.42%,,0.68%,,0.33%
12-Dec-21,0.75%,,1.05%,,0.32%,,0.80%,,0.40%,,5.42%,,0.68%,,0.32%
13-Dec-21,0.74%,,1.04%,,0.32%,,0.80%,,0.39%,,5.42%,,0.68%,,0.32%
14-Dec-21,0.74%,,1.03%,,0.32%,,0.80%,,0.39%,,5.42%,,0.68%,,0.31%
15-Dec-21,0.73%,,1.03%,,0.32%,,0.80%,,0.38%,,5.42%,,0.68%,,0.29%
16-Dec-21,0.71%,,1.02%,,0.32%,,0.80%,,0.37%,,5.39%,,0.68%,,0.29%
17-Dec-21,0.70%,,1.01%,,0.31%,,0.80%,,0.35%,,5.35%,,0.67%,,0.29%
18-Dec-21,0.68%,,1.01%,,0.31%,,0.80%,,0.33%,,5.33%,,0.66%,,0.28%
19-Dec-21,0.66%,,1.00%,,0.31%,,0.80%,,0.31%,,5.26%,,0.66%,,0.28%
20-Dec-21,0.64%,,0.99%,,0.30%,,0.80%,,0.29%,,5.18%,,0.66%,,0.28%
21-Dec-21,0.63%,,0.99%,,0.29%,,0.80%,,0.26%,,5.12%,,0.65%,,0.27%
22-Dec-21,0.61%,,0.98%,,0.27%,,0.80%,,0.23%,,4.75%,,0.63%,,0.26%
23-Dec-21,0.58%,,0.98%,,0.24%,,0.80%,,0.18%,,4.51%,,0.61%,,0.25%
24-Dec-21,0.55%,,0.97%,,0.20%,,0.79%,,0.14%,,4.06%,,0.59%,,0.25%
25-Dec-21,0.52%,,0.96%,,0.16%,,0.79%,,0.11%,,3.68%,,0.56%,,0.24%
26-Dec-21,0.50%,,0.95%,,0.14%,,0.79%,,0.09%,,3.22%,,0.54%,,0.23%
27-Dec-21,0.48%,,0.94%,,0.12%,,0.79%,,0.10%,,2.94%,,0.51%,,0.22%
28-Dec-21,0.46%,,0.93%,,0.10%,,0.78%,,0.08%,,2.67%,,0.47%,,0.22%
29-Dec-21,0.43%,,0.91%,,0.08%,,0.78%,,0.07%,,2.39%,,0.45%,,0.21%
30-Dec-21,0.40%,,0.89%,,0.07%,,0.78%,,0.07%,,2.04%,,0.42%,,0.20%
31-Dec-21,0.35%,,0.87%,,0.05%,,0.78%,,0.07%,,1.66%,,0.37%,,0.18%
1-Jan-22,0.32%,,0.84%,,0.04%,,0.78%,,0.06%,,1.06%,,0.34%,,0.16%
2-Jan-22,0.29%,,0.81%,,0.04%,,0.77%,,0.05%,,0.80%,,0.31%,,0.14%
3-Jan-22,0.27%,,0.77%,,0.03%,,0.77%,,0.04%,,0.62%,,0.28%,,0.12%
4-Jan-22,0.25%,,0.72%,,0.02%,,0.76%,,0.04%,,0.46%,,0.24%,,0.11%
5-Jan-22,0.22%,,0.68%,,0.02%,,0.75%,,0.03%,,0.35%,,0.21%,,0.10%
6-Jan-22,0.20%,,0.62%,,0.02%,,0.74%,,0.03%,,0.29%,,0.19%,,0.08%
7-Jan-22,0.18%,,0.57%,,0.01%,,0.74%,,0.03%,,0.22%,,0.16%,,0.07%
8-Jan-22,0.17%,,0.49%,,0.02%,,0.73%,,0.04%,,0.16%,,0.14%,,0.05%
9-Jan-22,0.16%,,0.43%,,0.01%,,0.73%,,0.04%,,0.14%,,0.12%,,0.05%
10-Jan-22,0.16%,,0.39%,,0.01%,,0.73%,,0.04%,,0.12%,,0.11%,,0.04%
11-Jan-22,0.15%,,0.36%,,0.01%,,0.72%,,0.04%,,0.11%,,0.11%,,0.03%
12-Jan-22,0.15%,,0.34%,,0.01%,,0.71%,,0.05%,,0.10%,,0.10%,,0.03%
13-Jan-22,0.13%,,0.32%,,0.01%,,0.71%,,0.06%,,0.09%,,0.09%,,0.02%
14-Jan-22,0.12%,,0.31%,,0.01%,,0.70%,,0.06%,,0.08%,,0.08%,,0.02%
15-Jan-22,0.12%,,0.30%,,0.01%,,0.70%,,0.06%,,0.08%,,0.08%,,0.03%
16-Jan-22,0.11%,,0.29%,,0.01%,,0.69%,,0.06%,,0.07%,,0.08%,,0.03%
17-Jan-22,0.11%,,0.28%,,0.02%,,0.69%,,0.06%,,0.07%,,0.08%,,0.03%
18-Jan-22,0.11%,,0.27%,,0.02%,,0.68%,,0.06%,,0.06%,,0.08%,,0.03%
19-Jan-22,0.11%,,0.27%,,0.02%,,0.68%,,0.06%,,0.06%,,0.07%,,0.03%
20-Jan-22,0.11%,,0.26%,,0.03%,,0.67%,,0.07%,,0.06%,,0.07%,,0.02%
21-Jan-22,0.11%,,0.26%,,0.03%,,0.67%,,0.08%,,0.06%,,0.07%,,0.02%
22-Jan-22,0.11%,,0.25%,,0.03%,,0.66%,,0.08%,,0.06%,,0.07%,,0.02%
23-Jan-22,0.11%,,0.25%,,0.03%,,0.65%,,0.08%,,0.06%,,0.07%,,0.02%
24-Jan-22,0.11%,,0.25%,,0.04%,,0.64%,,0.08%,,0.06%,,0.08%,,0.02%
25-Jan-22,0.12%,,0.24%,,0.04%,,0.64%,,0.08%,,0.06%,,0.08%,,0.02%
26-Jan-22,0.12%,,0.25%,,0.04%,,0.62%,,0.09%,,0.06%,,0.08%,,0.02%
27-Jan-22,0.12%,,0.25%,,0.04%,,0.62%,,0.10%,,0.06%,,0.07%,,0.02%
28-Jan-22,0.12%,,0.25%,,0.05%,,0.62%,,0.10%,,0.06%,,0.07%,,0.02%
29-Jan-22,0.13%,,0.25%,,0.05%,,0.61%,,0.11%,,0.06%,,0.07%,,0.01%
30-Jan-22,0.13%,,0.25%,,0.05%,,0.60%,,0.11%,,0.06%,,0.07%,,0.01%
31-Jan-22,0.13%,,0.24%,,0.05%,,0.59%,,0.11%,,0.06%,,0.07%,,0.01%
1-Feb-22,0.13%,,0.24%,,0.05%,,0.58%,,0.11%,,0.06%,,0.07%,,0.01%
2-Feb-22,0.13%,,0.24%,,0.05%,,0.57%,,0.11%,,0.06%,,0.07%,,0.02%
3-Feb-22,0.13%,,0.24%,,0.05%,,0.56%,,0.11%,,0.06%,,0.07%,,0.02%
4-Feb-22,0.14%,,0.24%,,0.06%,,0.55%,,0.11%,,0.06%,,0.07%,,0.02%
5-Feb-22,0.14%,,0.25%,,0.06%,,0.54%,,0.11%,,0.06%,,0.07%,,0.02%
6-Feb-22,0.14%,,0.25%,,0.06%,,0.53%,,0.11%,,0.06%,,0.07%,,0.02%
7-Feb-22,0.14%,,0.24%,,0.07%,,0.52%,,0.12%,,0.06%,,0.08%,,0.02%
8-Feb-22,0.14%,,0.24%,,0.07%,,0.50%,,0.12%,,0.06%,,0.08%,,0.02%
9-Feb-22,0.14%,,0.24%,,0.07%,,0.47%,,0.12%,,0.06%,,0.08%,,0.02%
10-Feb-22,0.14%,,0.24%,,0.07%,,0.44%,,0.12%,,0.06%,,0.08%,,0.03%
11-Feb-22,0.14%,,0.24%,,0.07%,,0.47%,,0.12%,,0.06%,,0.08%,,0.03%
12-Feb-22,0.14%,,0.24%,,0.08%,,0.46%,,0.12%,,0.06%,,0.08%,,0.03%
13-Feb-22,0.14%,,0.24%,,0.08%,,0.44%,,0.12%,,0.06%,,0.08%,,0.03%
14-Feb-22,0.14%,,0.24%,,0.08%,,0.43%,,0.12%,,0.06%,,0.07%,,0.03%
15-Feb-22,0.14%,,0.24%,,0.08%,,0.42%,,0.13%,,0.06%,,0.07%,,0.03%
16-Feb-22,0.15%,,0.24%,,0.08%,,0.40%,,0.13%,,0.06%,,0.07%,,0.04%
17-Feb-22,0.15%,,0.24%,,0.09%,,0.37%,,0.13%,,0.06%,,0.07%,,0.04%
18-Feb-22,0.15%,,0.24%,,0.09%,,0.35%,,0.13%,,0.06%,,0.07%,,0.04%
19-Feb-22,0.15%,,0.24%,,0.09%,,0.32%,,0.13%,,0.06%,,0.07%,,0.04%
20-Feb-22,0.15%,,0.24%,,0.09%,,0.30%,,0.12%,,0.06%,,0.07%,,0.04%
21-Feb-22,0.15%,,0.24%,,0.09%,,0.28%,,0.12%,,0.06%,,0.07%,,0.04%
22-Feb-22,0.15%,,0.24%,,0.09%,,0.26%,,0.12%,,0.06%,,0.07%,,0.04%
23-Feb-22,0.15%,,0.24%,,0.09%,,0.23%,,0.12%,,0.06%,,0.07%,,0.04%
24-Feb-22,0.15%,,0.24%,,0.09%,,0.19%,,0.12%,,0.06%,,0.07%,,0.05%
25-Feb-22,0.15%,,0.24%,,0.09%,,0.16%,,0.12%,,0.06%,,0.07%,,0.05%
26-Feb-22,0.15%,,0.24%,,0.10%,,0.14%,,0.12%,,0.06%,,0.07%,,0.05%
27-Feb-22,0.15%,,0.24%,,0.09%,,0.12%,,0.12%,,0.06%,,0.07%,,0.05%
28-Feb-22,0.15%,,0.24%,,0.09%,,0.11%,,0.12%,,0.06%,,0.07%,,0.05%
1-Mar-22,0.15%,,0.24%,,0.10%,,0.10%,,0.12%,,0.05%,,0.07%,,0.05%
2-Mar-22,0.14%,,0.24%,,0.10%,,0.08%,,0.12%,,0.05%,,0.07%,,0.05%
3-Mar-22,0.14%,,0.24%,,0.10%,,0.08%,,0.12%,,0.05%,,0.07%,,0.06%
4-Mar-22,0.14%,,0.24%,,0.10%,,0.07%,,0.12%,,0.05%,,0.06%,,0.06%
5-Mar-22,0.14%,,0.24%,,0.10%,,0.06%,,0.12%,,0.05%,,0.06%,,0.06%
6-Mar-22,0.14%,,0.24%,,0.10%,,0.05%,,0.12%,,0.05%,,0.06%,,0.06%
7-Mar-22,0.14%,,0.24%,,0.10%,,0.05%,,0.13%,,0.05%,,0.06%,,0.06%
8-Mar-22,0.14%,,0.24%,,0.10%,,0.05%,,0.13%,,0.05%,,0.06%,,0.07%
9-Mar-22,0.14%,,0.24%,,0.10%,,0.04%,,0.13%,,0.05%,,0.06%,,0.07%
10-Mar-22,0.14%,,0.24%,,0.10%,,0.04%,,0.13%,,0.05%,,0.06%,,0.07%
11-Mar-22,0.14%,,0.24%,,0.10%,,0.03%,,0.13%,,0.05%,,0.06%,,0.07%
12-Mar-22,0.14%,,0.24%,,0.10%,,0.03%,,0.13%,,0.05%,,0.06%,,0.07%
13-Mar-22,0.14%,,0.24%,,0.10%,,0.03%,,0.13%,,0.05%,,0.06%,,0.07%
14-Mar-22,0.14%,,0.23%,,0.10%,,0.03%,,0.12%,,0.04%,,0.06%,,0.07%
