Date,NSW,,VIC,,QLD,,WA,,SA,,TAS,,ACT,,NT,
5-Jan-22,"1,491",147,591,75,275,70,0,0,125,23,5,2,16,3,21,-3
6-Jan-22,"1,609",118,631,40,296,21,0,0,123,-2,5,0,20,4,23,2
7-Jan-22,"1,738",129,644,13,327,31,0,0,144,21,8,3,24,4,19,-4
8-Jan-22,"1,795",57,731,87,366,39,0,0,164,20,10,2,24,0,17,-2
9-Jan-22,"1,927",132,752,21,402,36,0,0,176,12,15,5,27,3,24,7
10-Jan-22,"2,030",103,818,66,419,17,0,0,188,12,17,2,25,-2,26,2
11-Jan-22,"2,186",156,861,43,529,110,0,0,211,23,18,1,28,3,32,6
12-Jan-22,"2,242",56,946,85,555,26,0,0,190,-21,22,4,23,-5,28,-4
13-Jan-22,"2,383",141,953,7,556,1,0,0,225,35,23,1,24,1,33,5
14-Jan-22,"2,525",142,976,23,589,33,0,0,246,21,24,1,27,3,37,4
15-Jan-22,"2,576",51,"1,054",78,649,60,0,0,236,-10,22,-2,30,3,36,-1
16-Jan-22,"2,650",74,"1,114",60,670,21,0,0,220,-16,22,0,41,11,42,6
17-Jan-22,"2,776",126,"1,229",115,702,32,1,1,227,7,21,-1,52,11,39,-3
18-Jan-22,"2,850",74,"1,152",-77,819,117,1,0,285,58,25,4,63,11,43,4
19-Jan-22,"2,863",13,"1,173",21,835,16,0,-1,294,9,29,4,60,-3,53,10
20-Jan-22,"2,781",-82,"1,206",33,850,15,0,0,290,-4,31,2,62,2,57,4
21-Jan-22,"2,743",-38,"1,096",-110,855,5,0,0,298,8,31,0,62,0,62,5
22-Jan-22,"2,762",19,"1,029",-67,884,29,0,0,276,-22,31,0,63,1,63,1
23-Jan-22,"2,712",-50,"1,002",-27,863,-21,0,0,278,2,39,8,67,4,75,12
24-Jan-22,"2,816",104,998,-4,878,15,0,0,294,16,41,2,68,1,78,3
25-Jan-22,"2,943",127,"1,057",59,928,50,1,1,287,-7,35,-6,67,-1,72,-6
26-Jan-22,"2,794",-149,"1,089",32,889,-39,1,0,288,1,28,-7,67,0,71,-1
27-Jan-22,"2,722",-72,"1,057",-32,829,-60,2,1,288,0,24,-4,73,6,95,24
28-Jan-22,"2,737",15,988,-69,818,-11,3,1,285,-3,19,-5,66,-7,105,10
29-Jan-22,"2,693",-44,953,-35,833,15,2,-1,283,-2,17,-2,61,-5,111,6
30-Jan-22,"2,663",-30,889,-64,745,-88,1,-1,289,6,20,3,62,1,121,10
31-Jan-22,"2,779",116,873,-16,821,76,1,0,281,-8,16,-4,62,0,114,-7
1-Feb-22,"2,749",-30,851,-22,868,47,1,0,273,-8,16,0,64,2,132,18
2-Feb-22,"2,622",-127,768,-83,837,-31,1,0,233,-40,13,-3,61,-3,129,-3
3-Feb-22,"2,578",-44,752,-16,820,-17,1,0,226,-7,13,0,63,2,141,12
4-Feb-22,"2,494",-84,707,-45,798,-22,0,-1,223,-3,13,0,65,2,148,7
5-Feb-22,"2,337",-157,687,-20,790,-8,0,0,218,-5,10,-3,63,-2,151,3
6-Feb-22,"2,321",-16,652,-35,726,-64,1,1,218,0,11,1,60,-3,158,7
7-Feb-22,"2,099",-222,638,-14,724,-2,1,0,224,6,15,4,57,-3,156,-2
8-Feb-22,"2,068",-31,575,-63,705,-19,1,0,204,-20,15,0,55,-2,178,22
9-Feb-22,"1,906",-162,542,-33,686,-19,1,0,210,6,15,0,54,-1,174,-4
10-Feb-22,"1,795",-111,543,1,633,-53,1,0,206,-4,17,2,51,-3,168,-6
11-Feb-22,"1,716",-79,553,10,584,-49,0,-1,210,4,16,-1,50,-1,164,-4
12-Feb-22,"1,650",-66,487,-66,538,-46,0,0,213,3,17,1,51,1,170,6
13-Feb-22,"1,614",-36,465,-22,496,-42,0,0,211,-2,10,-7,50,-1,164,-6
14-Feb-22,"1,649",35,465,0,514,18,0,0,214,3,12,2,51,1,164,0
15-Feb-22,"1,583",-66,441,-24,491,-23,0,0,219,5,10,-2,49,-2,156,-8
16-Feb-22,"1,478",-105,397,-44,432,-59,0,0,227,8,13,3,48,-1,143,-13
17-Feb-22,"1,447",-31,401,4,408,-24,0,0,221,-6,16,3,47,-1,137,-6
18-Feb-22,"1,381",-66,379,-22,408,0,0,0,177,-44,11,-5,45,-2,127,-10
19-Feb-22,"1,297",-84,365,-14,414,6,0,0,182,5,12,1,40,-5,157,30
20-Feb-22,"1,280",-17,358,-7,386,-28,2,2,190,8,9,-3,35,-5,132,-25
21-Feb-22,"1,288",8,361,3,401,15,6,4,190,0,10,1,37,2,123,-9
22-Feb-22,"1,293",5,345,-16,394,-7,3,-3,205,15,11,1,33,-4,123,0
23-Feb-22,"1,246",-47,319,-26,379,-15,5,2,192,-13,10,-1,40,7,131,8
24-Feb-22,"1,211",-35,322,3,334,-45,7,2,151,-41,12,2,41,1,108,-23
25-Feb-22,"1,144",-67,301,-21,350,16,12,5,112,-39,11,-1,41,0,101,-7
26-Feb-22,"1,130",-14,281,-20,341,-9,15,3,109,-3,10,-1,41,0,98,-3
27-Feb-22,"1,146",16,274,-7,295,-46,13,-2,114,5,9,-1,43,2,101,3
28-Feb-22,"1,136",-10,283,9,311,16,13,0,109,-5,11,2,44,1,96,-5
1-Mar-22,"1,098",-38,255,-28,316,5,16,3,111,2,13,2,45,1,86,-10
2-Mar-22,"1,072",-26,264,9,312,-4,16,0,112,1,12,-1,40,-5,76,-10
3-Mar-22,"1,035",-37,262,-2,315,3,22,6,104,-8,12,0,39,-1,48,-28
4-Mar-22,"1,000",-35,245,-17,284,-31,21,-1,106,2,14,2,34,-5,48,0
5-Mar-22,995,-5,250,5,276,-8,28,7,100,-6,16,2,39,5,48,0
6-Mar-22,"1,009",14,219,-31,265,-11,33,5,103,3,18,2,36,-3,54,6
7-Mar-22,"1,066",57,227,8,267,2,36,3,106,3,21,3,39,3,47,-7
8-Mar-22,"1,070",4,203,-24,268,1,48,12,97,-9,14,-7,43,4,45,-2
9-Mar-22,"1,038",-32,196,-7,262,-6,67,19,90,-7,14,0,37,-6,33,-12
10-Mar-22,991,-47,188,-8,252,-10,80,13,91,1,16,2,37,0,33,0
11-Mar-22,998,7,185,-3,250,-2,92,12,88,-3,16,0,31,-6,29,-4
12-Mar-22,966,-32,175,-10,247,-3,102,10,98,10,14,-2,30,-1,23,-6
13-Mar-22,965,-1,195,20,243,-4,122,20,108,10,14,0,29,-1,26,3
14-Mar-22,"1,005",40,198,3,233,-10,101,-21,113,5,13,-1,38,9,26,0
15-Mar-22,"1,032",27,197,-1,246,13,112,11,129,16,14,1,40,2,31,5
16-Mar-22,"1,016",-16,201,4,255,9,93,-19,136,7,18,4,39,-1,24,-7
17-Mar-22,"1,036",20,197,-4,263,8,140,47,132,-4,25,7,39,0,23,-1
18-Mar-22,"1,060",24,199,2,245,-18,91,-49,136,4,23,-2,37,-2,21,-2
19-Mar-22,"1,090",30,210,11,235,-10,147,56,147,11,24,1,34,-3,16,-5
20-Mar-22,"1,124",34,215,5,228,-7,155,8,148,1,20,-4,38,4,15,-1
21-Mar-22,"1,163",39,248,33,243,15,163,8,150,2,24,4,39,1,16,1
22-Mar-22,"1,177",14,256,8,252,9,180,17,165,15,25,1,38,-1,14,-2
23-Mar-22,"1,162",-15,243,-13,252,0,194,14,161,-4,32,7,42,4,18,4
24-Mar-22,"1,180",18,244,1,271,19,209,15,157,-4,28,-4,42,0,18,0
25-Mar-22,"1,182",2,253,9,265,-6,209,0,157,0,24,-4,42,0,20,2
26-Mar-22,"1,177",-5,250,-3,295,30,194,-15,151,-6,28,4,42,0,22,2
27-Mar-22,"1,171",-6,260,10,284,-11,215,21,158,7,29,1,45,3,14,-8
28-Mar-22,"1,270",99,252,-8,299,15,210,-5,181,23,27,-2,46,1,16,2
29-Mar-22,"1,283",13,284,32,325,26,219,9,170,-11,22,-5,49,3,12,-4
30-Mar-22,"1,301",18,280,-4,393,68,208,-11,180,10,22,0,48,-1,14,2
31-Mar-22,"1,326",25,312,32,362,-31,219,11,175,-5,29,7,47,-1,22,8
1-Apr-22,"1,345",19,310,-2,403,41,211,-8,169,-6,30,1,46,-1,19,-3
2-Apr-22,"1,302",-43,306,-4,422,19,215,4,184,15,36,6,43,-3,14,-5
3-Apr-22,"1,355",53,307,1,418,-4,221,6,188,4,37,1,41,-2,14,0
4-Apr-22,"1,418",63,305,-2,437,19,231,10,209,21,40,3,45,4,14,0
5-Apr-22,"1,467",49,339,34,479,42,242,11,206,-3,44,4,41,-4,18,4
6-Apr-22,"1,444",-23,331,-8,468,-11,259,17,208,2,39,-5,42,1,20,2
7-Apr-22,"1,437",-7,315,-16,444,-24,256,-3,210,2,43,4,49,7,24,4
8-Apr-22,"1,435",-2,335,20,479,35,243,-13,202,-8,41,-2,55,6,28,4
9-Apr-22,"1,437",2,366,31,480,1,236,-7,201,-1,38,-3,62,7,24,-4
10-Apr-22,"1,492",55,356,-10,500,20,234,-2,222,21,42,4,62,0,33,9
11-Apr-22,"1,568",76,381,25,518,18,240,6,236,14,56,14,62,0,31,-2
12-Apr-22,"1,584",16,376,-5,572,54,236,-4,232,-4,55,-1,61,-1,29,-2
13-Apr-22,"1,583",-1,391,15,597,25,215,-21,220,-12,48,-7,61,0,32,3
14-Apr-22,"1,582",-1,392,1,590,-7,200,-15,238,18,50,2,56,-5,30,-2
15-Apr-22,"1,485",-97,374,-18,574,-16,197,-3,209,-29,55,5,56,0,29,-1
16-Apr-22,"1,491",6,403,29,538,-36,205,8,223,14,48,-7,60,4,28,-1
17-Apr-22,"1,527",36,401,-2,563,25,220,15,225,2,47,-1,60,0,27,-1
18-Apr-22,"1,576",49,431,30,551,-12,227,7,261,36,44,-3,58,-2,30,3
19-Apr-22,"1,623",47,443,12,564,13,247,20,245,-16,47,3,64,6,43,13
20-Apr-22,"1,639",16,437,-6,594,30,244,-3,252,7,56,9,63,-1,44,1
21-Apr-22,"1,641",2,444,7,578,-16,248,4,241,-11,58,2,61,-2,41,-3
22-Apr-22,"1,632",-9,428,-16,528,-50,258,10,246,5,41,-17,57,-4,46,5
23-Apr-22,"1,617",-15,449,21,513,-15,248,-10,237,-9,44,3,55,-2,47,1
24-Apr-22,"1,588",-29,438,-11,474,-39,239,-9,256,19,49,5,58,3,50,3
25-Apr-22,"1,631",43,441,3,430,-44,240,1,247,-9,43,-6,61,3,51,1
26-Apr-22,"1,695",64,455,14,484,54,249,9,254,7,38,-5,69,8,47,-4
27-Apr-22,"1,743",48,456,1,527,43,253,4,247,-7,40,2,69,0,56,9
28-Apr-22,"1,701",-42,445,-11,502,-25,237,-16,240,-7,40,0,69,0,50,-6
29-Apr-22,"1,645",-56,428,-17,492,-10,233,-4,222,-18,37,-3,65,-4,47,-3
30-Apr-22,"1,623",-22,448,20,468,-24,234,1,250,28,41,4,68,3,45,-2
1-May-22,"1,604",-19,437,-11,446,-22,221,-13,229,-21,43,2,69,1,50,5
2-May-22,"1,656",52,456,19,453,7,240,19,257,28,46,3,66,-3,44,-6
3-May-22,"1,513",-143,482,26,466,13,249,9,228,-29,49,3,64,-2,37,-7
4-May-22,"1,510",-3,473,-9,504,38,242,-7,221,-7,50,1,67,3,37,0
5-May-22,"1,529",19,492,19,467,-37,271,29,218,-3,46,-4,70,3,38,1
6-May-22,"1,499",-30,502,10,463,-4,282,11,221,3,46,0,66,-4,46,8
7-May-22,"1,481",-18,494,-8,454,-9,275,-7,214,-7,48,2,69,3,36,-10
8-May-22,"1,504",23,491,-3,426,-28,281,6,214,0,43,-5,76,7,38,2
9-May-22,"1,548",44,491,0,439,13,279,-2,228,14,44,1,72,-4,38,0
10-May-22,"1,538",-10,519,28,456,17,286,7,222,-6,40,-4,73,1,34,-4
11-May-22,"1,452",-86,533,14,459,3,275,-11,232,10,48,8,76,3,27,-7
12-May-22,"1,403",-49,545,12,437,-22,275,0,210,-22,42,-6,74,-2,18,-9
13-May-22,"1,398",-5,546,1,407,-30,279,4,229,19,39,-3,74,0,16,-2
14-May-22,"1,377",-21,524,-22,414,7,292,13,217,-12,43,4,71,-3,18,2
15-May-22,"1,377",0,528,4,417,3,294,2,231,14,47,4,75,4,19,1
16-May-22,"1,437",60,526,-2,435,18,314,20,248,17,44,-3,75,0,22,3
17-May-22,"1,442",5,516,-10,492,57,325,11,246,-2,40,-4,80,5,21,-1
18-May-22,"1,395",-47,510,-6,511,19,327,2,247,1,45,5,74,-6,25,4
19-May-22,"1,283",-112,512,2,493,-18,300,-27,246,-1,43,-2,84,10,25,0
20-May-22,"1,226",-57,514,2,478,-15,304,4,218,-28,44,1,84,0,23,-2
21-May-22,"1,187",-39,552,38,420,-58,301,-3,211,-7,50,6,89,5,19,-4
22-May-22,"1,165",-22,541,-11,432,12,326,25,224,13,47,-3,92,3,17,-2
23-May-22,"1,236",71,555,14,401,-31,323,-3,238,14,51,4,91,-1,17,0
24-May-22,"1,234",-2,545,-10,451,50,312,-11,232,-6,46,-5,90,-1,17,0
25-May-22,"1,209",-25,567,22,426,-25,301,-11,236,4,51,5,88,-2,11,-6
26-May-22,"1,204",-5,559,-8,445,19,312,11,238,2,50,-1,85,-3,12,1
27-May-22,"1,173",-31,571,12,422,-23,322,10,226,-12,50,0,83,-2,16,4
28-May-22,"1,139",-34,540,-31,379,-43,305,-17,207,-19,52,2,77,-6,16,0
29-May-22,"1,146",7,507,-33,374,-5,315,10,217,10,50,-2,82,5,21,5
30-May-22,"1,181",35,550,43,365,-9,317,2,216,-1,46,-4,88,6,11,-10
31-May-22,"1,185",4,527,-23,359,-6,318,1,232,16,48,2,93,5,15,4
1-Jun-22,"1,143",-42,528,1,326,-33,298,-20,244,12,48,0,84,-9,15,0
2-Jun-22,"1,066",-77,525,-3,316,-10,285,-13,241,-3,42,-6,82,-2,13,-2
3-Jun-22,"1,254",188,514,-11,305,-11,275,-10,232,-9,42,0,81,-1,20,7
4-Jun-22,"1,227",-27,509,-5,286,-19,278,3,230,-2,39,-3,72,-9,19,-1
5-Jun-22,"1,264",37,499,-10,282,-4,280,2,232,2,42,3,77,5,13,-6
6-Jun-22,"1,314",50,476,-23,299,17,279,-1,241,9,43,1,92,15,12,-1
7-Jun-22,"1,307",-7,514,38,316,17,290,11,234,-7,39,-4,92,0,12,0
8-Jun-22,"1,283",-24,522,8,312,-4,283,-7,237,3,38,-1,89,-3,14,2
9-Jun-22,"1,263",-20,517,-5,297,-15,293,10,234,-3,37,-1,87,-2,16,2
10-Jun-22,"1,250",-13,512,-5,301,4,279,-14,235,1,32,-5,83,-4,13,-3
11-Jun-22,"1,219",-31,454,-58,329,28,272,-7,244,9,41,9,79,-4,13,0
12-Jun-22,"1,255",36,454,0,329,0,261,-11,246,2,39,-2,80,1,18,5
13-Jun-22,"1,287",32,444,-10,358,29,253,-8,244,-2,49,10,86,6,18,0
14-Jun-22,"1,341",54,473,29,373,15,278,25,226,-18,45,-4,93,7,22,4
15-Jun-22,"1,355",14,476,3,391,18,258,-20,246,20,43,-2,97,4,21,-1
16-Jun-22,"1,334",-21,465,-11,386,-5,262,4,222,-24,38,-5,89,-8,17,-4
17-Jun-22,"1,372",38,438,-27,402,16,260,-2,210,-12,30,-8,87,-2,18,1
18-Jun-22,"1,344",-28,419,-19,428,26,277,17,211,1,31,1,86,-1,19,1
19-Jun-22,"1,406",62,422,3,444,16,280,3,217,6,29,-2,90,4,17,-2
20-Jun-22,"1,470",64,418,-4,480,36,268,-12,237,20,33,4,89,-1,11,-6
21-Jun-22,"1,499",29,434,16,491,11,259,-9,230,-7,38,5,87,-2,17,6
22-Jun-22,"1,499",0,402,-32,497,6,259,0,223,-7,45,7,85,-2,12,-5
23-Jun-22,"1,500",1,411,9,512,15,260,1,212,-11,46,1,88,3,14,2
24-Jun-22,"1,455",-45,412,1,522,10,239,-21,200,-12,47,1,99,11,13,-1
25-Jun-22,"1,453",-2,420,8,556,34,242,3,209,9,49,2,105,6,12,-1
26-Jun-22,"1,465",12,451,31,556,0,250,8,216,7,48,-1,116,11,16,4
27-Jun-22,"1,507",42,459,8,542,-14,234,-16,210,-6,45,-3,119,3,17,1
28-Jun-22,"1,540",33,468,9,593,51,246,12,246,36,45,0,121,2,17,0
29-Jun-22,"1,526",-14,463,-5,597,4,229,-17,235,-11,38,-7,116,-5,20,3
30-Jun-22,"1,534",8,465,2,631,34,219,-10,237,2,44,6,122,6,15,-5
1-Jul-22,"1,558",24,472,7,597,-34,217,-2,227,-10,47,3,138,16,17,2
2-Jul-22,"1,621",63,462,-10,602,5,218,1,231,4,47,0,131,-7,17,0
3-Jul-22,"1,657",36,476,14,630,28,223,5,226,-5,53,6,130,-1,20,3
4-Jul-22,"1,725",68,513,37,598,-32,226,3,220,-6,72,19,136,6,21,1
5-Jul-22,"1,782",57,543,30,710,112,238,12,234,14,76,4,136,0,21,0
6-Jul-22,"1,822",40,523,-20,705,-5,226,-12,267,33,79,3,135,-1,24,3
7-Jul-22,"1,882",60,592,69,697,-8,240,14,254,-13,80,1,135,0,19,-5
8-Jul-22,"1,901",19,629,37,714,17,242,2,249,-5,88,8,137,2,17,-2
9-Jul-22,"1,894",-7,667,38,719,5,252,10,245,-4,89,1,138,1,20,3
10-Jul-22,"1,945",51,671,4,744,25,261,9,240,-5,93,4,134,-4,24,4
11-Jul-22,"2,002",57,717,46,782,38,282,21,284,44,99,6,136,2,25,1
12-Jul-22,"2,049",47,737,20,860,78,297,15,246,-38,100,1,140,4,39,14
13-Jul-22,"2,023",-26,739,2,859,-1,320,23,245,-1,106,6,142,2,43,4
14-Jul-22,"2,001",-22,771,32,863,4,329,9,231,-14,125,19,137,-5,55,12
15-Jul-22,"2,027",26,749,-22,907,44,333,4,266,35,133,8,135,-2,52,-3
16-Jul-22,"2,024",-3,802,53,921,14,351,18,287,21,138,5,156,21,61,9
17-Jul-22,"2,057",33,760,-42,876,-45,377,26,288,1,152,14,167,11,42,-19
18-Jul-22,"2,169",112,821,61,914,38,411,34,306,18,166,14,171,4,43,1
19-Jul-22,"2,205",36,897,76,983,69,455,44,282,-24,184,18,170,-1,63,20
20-Jul-22,"2,236",31,906,9,"1,034",51,457,2,323,41,173,-11,160,-10,68,5
21-Jul-22,"2,210",-26,875,-31,"1,034",0,459,2,354,31,193,20,165,5,70,2
22-Jul-22,"2,202",-8,840,-35,"1,050",16,452,-7,358,4,172,-21,152,-13,81,11
23-Jul-22,"2,176",-26,820,-20,"1,061",11,430,-22,354,-4,176,4,145,-7,89,8
24-Jul-22,"2,260",84,849,29,"1,042",-19,437,7,374,20,174,-2,155,10,71,-18
25-Jul-22,"2,329",69,855,6,"1,024",-18,432,-5,384,10,183,9,162,7,70,-1
26-Jul-22,"2,344",15,869,14,"1,123",99,457,25,379,-5,177,-6,151,-11,71,1
27-Jul-22,"2,275",-69,872,3,"1,023",-100,442,-15,365,-14,170,-7,141,-10,76,5
28-Jul-22,"2,282",7,852,-20,955,-68,418,-24,339,-26,176,6,149,8,61,-15
29-Jul-22,"2,257",-25,813,-39,906,-49,424,6,341,2,158,-18,147,-2,58,-3
30-Jul-22,"2,210",-47,837,24,861,-45,417,-7,355,14,144,-14,152,5,56,-2
31-Jul-22,"2,265",55,768,-69,762,-99,415,-2,346,-9,150,6,163,11,56,0
1-Aug-22,"2,323",58,773,5,782,20,411,-4,350,4,139,-11,165,2,49,-7
2-Aug-22,"2,289",-34,802,29,815,33,404,-7,352,2,129,-10,158,-7,53,4
3-Aug-22,"2,288",-1,743,-59,788,-27,404,0,327,-25,101,-28,143,-15,57,4
4-Aug-22,"2,213",-75,723,-20,745,-43,367,-37,356,29,95,-6,147,4,56,-1
5-Aug-22,"2,224",11,699,-24,736,-9,351,-16,316,-40,92,-3,141,-6,54,-2
6-Aug-22,"2,187",-37,668,-31,703,-33,346,-5,311,-5,85,-7,135,-6,43,-11
7-Aug-22,"2,181",-6,660,-8,669,-34,342,-4,316,5,83,-2,140,5,40,-3
8-Aug-22,"2,236",55,657,-3,667,-2,342,0,322,6,84,1,144,4,32,-8
9-Aug-22,"2,265",29,673,16,710,43,358,16,341,19,84,0,146,2,34,2
10-Aug-22,"2,212",-53,610,-63,656,-54,339,-19,351,10,76,-8,138,-8,33,-1
11-Aug-22,"2,223",11,605,-5,596,-60,323,-16,269,-82,80,4,135,-3,43,10
12-Aug-22,"2,194",-29,550,-55,543,-53,308,-15,256,-13,76,-4,135,0,36,-7
13-Aug-22,"2,107",-87,543,-7,507,-36,304,-4,275,19,65,-11,141,6,32,-4
14-Aug-22,"2,148",41,575,32,468,-39,298,-6,274,-1,63,-2,139,-2,26,-6
15-Aug-22,"2,178",30,571,-4,459,-9,303,5,274,0,62,-1,135,-4,31,5
16-Aug-22,"2,141",-37,535,-36,487,28,294,-9,286,12,61,-1,138,3,40,9
17-Aug-22,"2,115",-26,518,-17,439,-48,283,-11,210,-76,66,5,136,-2,40,0
18-Aug-22,"2,046",-69,497,-21,448,9,267,-16,240,30,59,-7,129,-7,40,0
19-Aug-22,"1,986",-60,514,17,419,-29,245,-22,237,-3,58,-1,124,-5,36,-4
20-Aug-22,"1,908",-78,471,-43,394,-25,237,-8,263,26,56,-2,121,-3,27,-9
21-Aug-22,"1,925",17,438,-33,377,-17,235,-2,259,-4,56,0,120,-1,23,-4
22-Aug-22,"1,962",37,414,-24,383,6,237,2,227,-32,59,3,121,1,26,3
23-Aug-22,"1,928",-34,433,19,411,28,243,6,242,15,55,-4,119,-2,26,0
24-Aug-22,"1,867",-61,402,-31,376,-35,237,-6,257,15,47,-8,116,-3,22,-4
25-Aug-22,"1,836",-31,405,3,343,-33,225,-12,257,0,42,-5,109,-7,20,-2
26-Aug-22,"1,780",-56,386,-19,321,-22,225,0,176,-81,35,-7,112,3,19,-1
27-Aug-22,"1,781",1,377,-9,305,-16,223,-2,165,-11,36,1,106,-6,22,3
28-Aug-22,"1,821",40,372,-5,288,-17,228,5,153,-12,30,-6,104,-2,14,-8
29-Aug-22,"1,879",58,343,-29,283,-5,228,0,153,0,32,2,106,2,12,-2
30-Aug-22,"1,834",-45,337,-6,319,36,234,6,129,-24,30,-2,100,-6,21,9
31-Aug-22,"1,802",-32,333,-4,316,-3,228,-6,116,-13,28,-2,90,-10,20,-1
1-Sep-22,"1,756",-46,332,-1,308,-8,217,-11,107,-9,29,1,92,2,19,-1
2-Sep-22,"1,726",-30,295,-37,285,-23,215,-2,105,-2,26,-3,91,-1,19,0
3-Sep-22,"1,691",-35,298,3,285,0,209,-6,93,-12,29,3,91,0,22,3
4-Sep-22,"1,689",-2,293,-5,285,0,198,-11,94,1,28,-1,92,1,22,0
5-Sep-22,"1,706",17,266,-27,279,-6,201,3,100,6,30,2,93,1,19,-3
6-Sep-22,"1,640",-66,260,-6,257,-22,205,4,95,-5,30,0,93,0,19,0
7-Sep-22,"1,581",-59,222,-38,240,-17,199,-6,90,-5,24,-6,89,-4,15,-4
8-Sep-22,"1,530",-51,227,5,225,-15,201,2,83,-7,20,-4,87,-2,15,0
9-Sep-22,"1,503",-27,213,-14,222,-3,192,-9,77,-6,21,1,86,-1,16,1
10-Sep-22,"1,503",0,213,0,222,0,192,0,77,0,21,0,86,0,16,0
11-Sep-22,"1,503",0,213,0,222,0,192,0,77,0,21,0,86,0,16,0
12-Sep-22,"1,503",0,213,0,222,0,192,0,77,0,21,0,86,0,16,0
13-Sep-22,"1,503",0,213,0,222,0,192,0,77,0,21,0,86,0,16,0
14-Sep-22,"1,503",0,213,0,222,0,192,0,77,0,21,0,86,0,16,0
15-Sep-22,"1,503",0,213,0,222,0,192,0,77,0,21,0,86,0,16,0
16-Sep-22,"1,290",-213,210,-3,181,-41,152,-40,55,-22,18,-3,76,-10,19,3
17-Sep-22,"1,263",-27,192,-18,181,0,145,-7,57,2,14,-4,76,0,18,-1
18-Sep-22,"1,263",0,192,0,181,0,145,0,57,0,14,0,77,1,18,0
19-Sep-22,"1,263",0,192,0,181,0,145,0,57,0,14,0,77,0,18,0
20-Sep-22,"1,263",0,192,0,181,0,145,0,57,0,14,0,77,0,18,0
21-Sep-22,"1,263",0,192,0,181,0,145,0,57,0,14,0,77,0,18,0
22-Sep-22,"1,263",0,192,0,181,0,145,0,57,0,14,0,77,0,18,0
23-Sep-22,"1,176",-87,169,-23,152,-29,134,-11,50,-7,20,6,69,-8,11,-7
24-Sep-22,"1,176",0,169,0,152,0,134,0,50,0,20,0,69,0,11,0
25-Sep-22,"1,176",0,169,0,152,0,134,0,50,0,20,0,69,0,11,0
26-Sep-22,"1,176",0,169,0,152,0,134,0,50,0,20,0,69,0,11,0
27-Sep-22,"1,176",0,169,0,152,0,134,0,50,0,20,0,69,0,11,0
28-Sep-22,"1,176",0,169,0,152,0,134,0,50,0,20,0,69,0,11,0
29-Sep-22,"1,176",0,169,0,152,0,134,0,50,0,20,0,69,0,11,0
30-Sep-22,"1,057",-119,145,-24,116,-36,136,2,31,-19,11,-9,55,-14,12,1
1-Oct-22,"1,057",0,145,0,116,0,136,0,31,0,11,0,55,0,12,0
2-Oct-22,"1,057",0,145,0,116,0,136,0,31,0,11,0,55,0,12,0
3-Oct-22,"1,057",0,145,0,116,0,136,0,31,0,11,0,55,0,12,0
4-Oct-22,"1,057",0,145,0,116,0,136,0,31,0,11,0,55,0,12,0
5-Oct-22,"1,057",0,145,0,116,0,136,0,31,0,11,0,55,0,12,0
6-Oct-22,"1,057",0,145,0,116,0,136,0,31,0,11,0,55,0,12,0
7-Oct-22,954,-103,137,-8,96,-20,163,27,45,14,10,-1,53,-2,7,-5
8-Oct-22,954,0,137,0,96,0,163,0,45,0,10,0,53,0,7,0
9-Oct-22,954,0,137,0,96,0,163,0,45,0,10,0,53,0,7,0
10-Oct-22,954,0,137,0,96,0,163,0,45,0,10,0,53,0,7,0
11-Oct-22,954,0,137,0,96,0,163,0,45,0,10,0,53,0,7,0
12-Oct-22,954,0,137,0,96,0,163,0,45,0,10,0,53,0,7,0
13-Oct-22,954,0,137,0,96,0,163,0,45,0,10,0,53,0,7,0
14-Oct-22,913,-41,148,11,103,7,152,-11,43,-2,6,-4,50,-3,10,3
15-Oct-22,913,0,148,0,103,0,152,0,43,0,6,0,50,0,10,0
16-Oct-22,913,0,148,0,103,0,152,0,43,0,6,0,50,0,10,0
17-Oct-22,913,0,148,0,103,0,152,0,43,0,6,0,50,0,10,0
18-Oct-22,913,0,148,0,103,0,152,0,43,0,6,0,50,0,10,0
19-Oct-22,913,0,148,0,103,0,152,0,43,0,6,0,50,0,10,0
20-Oct-22,913,0,148,0,103,0,152,0,43,0,6,0,50,0,10,0
21-Oct-22,876,-37,143,-5,109,6,197,45,50,7,0,-6,49,-1,9,-1
22-Oct-22,876,0,143,0,109,0,197,0,50,0,0,0,49,0,9,0
23-Oct-22,876,0,143,0,109,0,197,0,50,0,0,0,49,0,9,0
24-Oct-22,876,0,143,0,109,0,197,0,50,0,0,0,49,0,9,0
25-Oct-22,876,0,143,0,109,0,197,0,50,0,0,0,49,0,9,0
26-Oct-22,876,0,143,0,109,0,197,0,50,0,0,0,49,0,9,0
27-Oct-22,876,0,143,0,109,0,197,0,50,0,0,0,49,0,9,0
28-Oct-22,820,-56,172,29,105,-4,140,-57,44,-6,16,16,43,-6,8,-1
29-Oct-22,820,0,172,0,105,0,140,0,44,0,16,0,43,0,8,0
30-Oct-22,820,0,172,0,105,0,140,0,44,0,16,0,43,0,8,0
31-Oct-22,820,0,172,0,105,0,140,0,44,0,16,0,43,0,8,0
1-Nov-22,820,0,172,0,105,0,140,0,44,0,16,0,43,0,8,0
2-Nov-22,820,0,172,0,105,0,140,0,44,0,16,0,43,0,8,0
3-Nov-22,820,0,172,0,105,0,140,0,44,0,16,0,43,0,8,0
4-Nov-22,809,-11,231,59,105,0,142,2,53,9,3,-13,37,-6,15,7
